alpha,LD
-90.0,-0.09916574846529198
-89.0,-0.11995113843442738
-88.0,-0.14114606124131193
-87.0,-0.16265956128392614
-86.0,-0.184657603117079
-85.0,-0.20708551038613482
-84.0,-0.2298442226743748
-83.0,-0.2531341720221274
-82.0,-0.276619973686829
-81.0,-0.30039649649425415
-80.0,-0.32457513670501215
-79.0,-0.34892003676470595
-78.0,-0.3735588724594856
-77.0,-0.39849225513870074
-76.0,-0.4234943351222421
-75.0,-0.4488100556635554
-74.0,-0.4743276283618582
-73.0,-0.49993811115237036
-72.0,-0.5257748756063018
-71.0,-0.5517057569296375
-70.0,-0.5778771753939487
-69.0,-0.6040408248281609
-68.0,-0.630455995991244
-67.0,-0.65686994856723
-66.0,-0.6832609195869034
-65.0,-0.7097791798107256
-64.0,-0.7362773306645538
-63.0,-0.762717833847541
-62.0,-0.7891129262580682
-61.0,-0.8154786032775494
-60.0,-0.8416263026566858
-59.0,-0.8678633089242126
-58.0,-0.893859808005796
-57.0,-0.9195842199531559
-56.0,-0.9452010124380814
-55.0,-0.9705419029615626
-54.0,-0.9955727460162707
-53.0,-1.0204180924733623
-52.0,-1.0448964813534773
-51.0,-1.0690006514222719
-50.0,-1.0927062493642128
-49.0,-1.1159876766320715
-48.0,-1.1387981197686408
-47.0,-1.1609709358032578
-46.0,-1.1827453241558255
-45.0,-1.2039527861652486
-44.0,-1.2245808394364104
-43.0,-1.2445711696061028
-42.0,-1.2640767386091127
-41.0,-1.2826760755570286
-40.0,-1.3006616219642644
-39.0,-1.3180198498178084
-38.0,-1.3346837722259735
-37.0,-1.350761167956077
-36.0,-1.3660867175443419
-35.0,-1.380592204220207
-34.0,-1.3942822198440605
-33.0,-1.4075159263945305
-32.0,-1.4204507004128037
-31.0,-1.433483084257816
-30.0,-1.447101837404811
-29.0,-1.4606289903050367
-28.0,-1.4755986371706895
-27.0,-1.493154349359208
-26.0,-1.5164035217156069
-25.0,-1.5490015666575487
-24.0,-1.582257530619
-23.0,-1.6147568943349688
-21.0,-1.670948253959292
-20.0,-1.6919956494899908
-19.0,-1.7070255026974006
-18.0,-1.7152911068458094
-17.0,-1.717387673292133
-16.0,-1.7176026295545144
-15.0,-1.70648838228847
-14.0,-1.6878409827934837
-13.0,-1.6618888358018793
-12.0,-1.6284089494001908
-11.0,-1.5848387933269947
-10.0,-1.5295808813620233
-9.0,-1.460585165859113
-8.0,-1.3759036144578314
-7.0,-1.2721761168811807
-6.0,-1.1477586030838354
-5.0,-1.0007834943849567
-4.0,-0.8317821624208903
-3.0,-0.6421177485443174
-2.0,-0.43700680272108844
-1.0,-0.22157785315680054
0.0,0.0
1.0,0.22157785315680054
2.0,0.43698302133217237
3.0,0.6425876010781671
4.0,0.8322254719489498
5.0,1.0010966630111233
6.0,1.148486549946404
7.0,1.2732240437158469
8.0,1.3766859344894027
9.0,1.4615635330819017
10.0,1.5300718132854578
11.0,1.5848551569313127
12.0,1.6274249709832531
13.0,1.6599753547720317
14.0,1.6844991052050415
15.0,1.7014762165117552
16.0,1.710558442917437
17.0,1.7076502732240435
18.0,1.7025690122865804
19.0,1.6912439576577127
20.0,1.6732751784298177
21.0,1.6491932065447763
23.0,1.5900975958105212
24.0,1.5592188427108327
25.0,1.528487529555335
26.0,1.5057488577597027
27.0,1.4882248169404315
28.0,1.4736175704302514
29.0,1.4603243036094944
30.0,1.4476814017569064
31.0,1.4348540610605744
32.0,1.4220381788810266
33.0,1.409049227259511
34.0,1.3959368541400994
35.0,1.381851979941207
36.0,1.3671816887339807
37.0,1.3518766195770293
38.0,1.3358409899077102
39.0,1.3192324024831656
40.0,1.3019340974212035
41.0,1.2840299267499704
42.0,1.2655957729911103
43.0,1.246486363291043
44.0,1.2270788114662077
45.0,1.207036436052515
46.0,1.1864252735667284
47.0,1.1654209460307217
48.0,1.1439734115900009
49.0,1.122100122100122
50.0,1.0998829362346785
51.0,1.0773283480625424
52.0,1.05427449400866
53.0,1.0308816947635389
54.0,1.0071730372408372
55.0,0.983168797540055
56.0,0.9588252231500144
57.0,0.9343074928045039
58.0,0.9094462948194711
59.0,0.8844179141407893
60.0,0.8591969407265774
61.0,0.8336107496292708
62.0,0.8079825139229894
63.0,0.7821295253895835
64.0,0.7561054267202205
65.0,0.7299947774618464
66.0,0.7036510602862844
67.0,0.6773712255772647
68.0,0.6509999156189351
69.0,0.6244084405099939
70.0,0.5980162556826009
71.0,0.5715298512549934
72.0,0.5451135428332412
73.0,0.5187539223671737
74.0,0.4924487665658073
75.0,0.4663171793497444
76.0,0.44024262490138516
77.0,0.41434803187882974
78.0,0.38864429937756184
79.0,0.3631291904333033
80.0,0.33795815402878765
81.0,0.3128704642948804
82.0,0.2882502113271344
83.0,0.26375120781591094
84.0,0.23975870966221707
85.0,0.21606841584734424
86.0,0.19283588264362136
87.0,0.17011901517216316
88.0,0.14785852321243986
89.0,0.12606773356497722
90.0,0.10452614812848421
