CD,CL
0.61646,-1.3213
0.60607,-1.3204
0.59546,-1.3178
0.5847,-1.3134
0.57379,-1.3073
0.56271,-1.2994
0.5515,-1.2898
0.54017,-1.2784
0.52872,-1.2653
0.51716,-1.2505
0.50551,-1.2341
0.49378,-1.216
0.48195,-1.1963
0.47007,-1.1751
0.45813,-1.1524
0.44614,-1.1281
0.43413,-1.1025
0.4221,-1.0755
0.41005,-1.0472
0.39804,-1.0178
0.38605,-0.9873
0.37406,-0.9556
0.36217,-0.9231
0.35035,-0.8897
0.33856,-0.8556
0.32692,-0.8209
0.31539,-0.7859
0.30401,-0.7506
0.29269,-0.715
0.28158,-0.6797
0.27067,-0.6447
0.25997,-0.6103
0.24938,-0.5767
0.23899,-0.5443
0.22881,-0.5133
0.21887,-0.484
0.20922,-0.4566
0.19991,-0.4314
0.19115,-0.4085
0.18318,-0.3868
0.1766,-0.3645
0.17243,-0.3364
0.16865,-0.2943
0.16513,-0.238
0.16219,-0.1712
0.16,-0.0981
0.15865,-0.0217
0.15812,0.0551
0.1583,0.1311
0.1592,0.2046
0.16068,0.274
0.16268,0.339
0.16523,0.3993
0.16937,0.4564
0.1749,0.5094
0.18165,0.5584
0.18971,0.603
0.19879,0.6439
0.20889,0.6817
0.21989,0.7177
0.23154,0.7529
0.24379,0.7872
0.25653,0.8214
0.26971,0.8561
0.28306,0.8907
0.29669,0.9255
0.31055,0.9605
0.32457,0.9955
0.33876,1.0307
0.35295,1.0653
0.36724,1.0995
0.38162,1.1332
0.39614,1.1665
0.41059,1.1986
0.42509,1.2298
0.4397,1.2601
0.45424,1.2891
0.4688,1.3168
0.48336,1.3432
0.49793,1.3682
0.51241,1.3915
0.52686,1.4133
0.54128,1.4335
0.5556,1.452
0.56987,1.4687
0.58402,1.4837
0.59809,1.4967
0.61204,1.508
0.62587,1.5173
0.63957,1.5248
0.65311,1.5303
0.66649,1.5338
0.6797,1.5355
0.69275,1.5351
0.70562,1.5329
0.71831,1.5286
