CD,CL
0.42998,-1.2626
0.42259,-1.2446
0.41443,-1.2247
0.40576,-1.2029
0.39654,-1.1794
0.38674,-1.1538
0.37667,-1.1268
0.36636,-1.0987
0.35574,-1.0695
0.34476,-1.039
0.33341,-1.0073
0.30929,-0.9428
0.29796,-0.9106
0.2861,-0.8765
0.2736,-0.8415
0.2606,-0.8055
0.2473,-0.7694
0.23377,-0.7343
0.21994,-0.7006
0.20562,-0.6682
0.1902,-0.6395
0.17722,-0.6102
0.16261,-0.5829
0.14756,-0.56
0.13208,-0.5393
0.11628,-0.5209
0.07908,-0.5114
0.03999,-0.4775
0.0158,-0.3945
0.01244,-0.2609
0.00964,-0.1346
0.00844,-0.0216
0.00743,0.0866
0.00684,0.1962
0.00616,0.4083
0.0069,0.5191
0.00777,0.629
0.00881,0.7377
0.0101,0.8446
0.01172,0.9489
0.01381,1.0495
0.01623,1.1468
0.01933,1.238
0.02382,1.315
0.0287,1.3792
0.0353,1.4049
0.04805,1.381
0.07278,1.3239
0.10525,1.2495
0.14311,1.1659
0.218,1.0268
0.23962,1.047
0.25938,1.0739
0.27483,1.1037
