alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp,airfoil,Reynolds,NCrit
16.0,0.9849,0.20631,0.2017,-0.1088,0.0162,1.0,-3.2653,0.0,0.0,0.0,0.3457,AG25,0.1,5.0
17.0,1.0082,0.22516,0.2205,-0.1187,0.0166,1.0,-3.006,0.0,0.0,0.0,0.3517,AG25,0.1,5.0
18.0,1.0342,0.24582,0.24111,-0.1304,0.0237,1.0,-2.4499,0.0,0.0,0.0,0.3592,AG25,0.1,5.0
19.0,0.749,0.22554,0.22135,-0.0866,0.0362,1.0,-1.6608,0.0,0.0,0.0,0.351,AG25,0.1,5.0
20.0,0.7517,0.23815,0.23398,-0.0933,0.0337,1.0,-1.4172,0.0,0.0,0.0,0.3586,AG25,0.1,5.0
21.0,0.7626,0.25139,0.24727,-0.0982,0.0301,1.0,-1.3197,0.0,0.0,0.0,0.362,AG25,0.1,5.0
22.0,0.7856,0.26832,0.26429,-0.0999,0.0262,1.0,-1.4923,0.0,0.0,0.0,0.3588,AG25,0.1,5.0
23.0,0.787,0.27926,0.27525,-0.1067,0.0256,1.0,-1.3449,0.0,0.0,0.0,0.366,AG25,0.1,5.0
24.0,0.7952,0.29236,0.28841,-0.1125,0.0231,1.0,-1.2555,0.0,0.0,0.0,0.3705,AG25,0.1,5.0
25.0,0.8056,0.30606,0.30218,-0.1173,0.0203,1.0,-1.2556,0.0,0.0,0.0,0.373,AG25,0.1,5.0
26.0,0.8164,0.31981,0.31601,-0.1215,0.0182,1.0,-1.3128,0.0,0.0,0.0,0.3743,AG25,0.1,5.0
27.0,0.8288,0.33748,0.33377,-0.125,0.0173,1.0,-1.3542,0.0,0.0,0.0,0.3743,AG25,0.1,5.0
28.0,0.8329,0.34956,0.34591,-0.1309,0.017,1.0,-1.1967,0.0,0.0,0.0,0.3788,AG25,0.1,5.0
29.0,0.8396,0.36313,0.35955,-0.1365,0.015,1.0,-1.0674,0.0,0.0,0.0,0.3822,AG25,0.1,5.0
30.0,0.8462,0.37714,0.37365,-0.1412,0.0128,1.0,-1.0409,0.0,0.0,0.0,0.3843,AG25,0.1,5.0
31.0,0.8517,0.39102,0.38765,-0.1458,0.0117,1.0,-1.0492,0.0,0.0,0.0,0.3861,AG25,0.1,5.0
32.0,0.8584,0.40834,0.40505,-0.1493,0.0109,1.0,-1.1714,0.0,0.0,0.0,0.3861,AG25,0.1,5.0
33.0,0.86,0.42103,0.41785,-0.1546,0.0108,1.0,-1.1397,0.0,0.0,0.0,0.3893,AG25,0.1,5.0
34.0,0.8616,0.43385,0.43076,-0.1599,0.0106,1.0,-1.0938,0.0,0.0,0.0,0.3922,AG25,0.1,5.0
35.0,0.8633,0.44716,0.44417,-0.1648,0.0101,1.0,-1.0409,0.0,0.0,0.0,0.3946,AG25,0.1,5.0
36.0,0.864,0.46058,0.4577,-0.1695,0.0093,1.0,-0.9994,0.0,0.0,0.0,0.3967,AG25,0.1,5.0
37.0,0.8634,0.47363,0.47086,-0.1741,0.0085,1.0,-0.9651,0.0,0.0,0.0,0.3987,AG25,0.1,5.0
38.0,0.8616,0.48607,0.48341,-0.1787,0.0075,1.0,-0.9467,0.0,0.0,0.0,0.4007,AG25,0.1,5.0
39.0,0.8584,0.49801,0.49547,-0.1831,0.0069,1.0,-0.9602,0.0,0.0,0.0,0.4026,AG25,0.1,5.0
