CD,CL
1.01648,-0.1008
0.99874,-0.1198
0.98267,-0.1387
0.96828,-0.1575
0.95474,-0.1763
0.94164,-0.195
0.92889,-0.2135
0.91651,-0.232
0.90449,-0.2502
0.89282,-0.2682
0.88146,-0.2861
0.8704,-0.3037
0.85957,-0.3211
0.84895,-0.3383
0.8385,-0.3551
0.82819,-0.3717
0.818,-0.388
0.8079,-0.4039
0.79787,-0.4195
0.78792,-0.4347
0.77802,-0.4496
0.76816,-0.464
0.75834,-0.4781
0.74855,-0.4917
0.73881,-0.5048
0.7291,-0.5175
0.71943,-0.5297
0.70983,-0.5414
0.70028,-0.5526
0.69076,-0.5633
0.6813,-0.5734
0.67188,-0.5831
0.66252,-0.5922
0.65323,-0.6007
0.64399,-0.6087
0.6348,-0.6161
0.62567,-0.6229
0.61661,-0.6292
0.60762,-0.6349
0.59869,-0.64
0.58982,-0.6445
0.58101,-0.6484
0.57227,-0.6517
0.56358,-0.6543
0.55498,-0.6564
0.54645,-0.6579
0.53798,-0.6588
0.52958,-0.6591
0.52125,-0.6589
0.51299,-0.658
0.50482,-0.6566
0.49673,-0.6547
0.48873,-0.6523
0.48084,-0.6495
0.47303,-0.6462
0.46538,-0.6425
0.45787,-0.6384
0.45051,-0.6341
0.44331,-0.6297
0.43628,-0.6254
0.42941,-0.6214
0.4229,-0.6177
0.41678,-0.615
0.41121,-0.614
0.40662,-0.6166
0.40213,-0.6229
0.39273,-0.6214
0.38111,-0.6154
0.35423,-0.5919
0.34019,-0.5756
0.32624,-0.5569
0.3126,-0.5362
0.29935,-0.5141
0.28598,-0.4912
0.27372,-0.4671
0.26211,-0.4424
0.25116,-0.4174
0.24091,-0.3923
0.23138,-0.3667
0.22261,-0.3405
0.21464,-0.3135
0.2075,-0.2855
0.20123,-0.256
0.19586,-0.2248
0.19145,-0.1916
0.18803,-0.1564
0.18548,-0.1191
0.18375,-0.0803
0.18278,-0.0405
0.18246,0.0
0.18278,0.0405
0.18376,0.0803
0.1855,0.1192
0.18805,0.1565
0.19149,0.1917
0.19591,0.225
0.2013,0.2563
0.2076,0.2858
0.21477,0.3139
0.2228,0.3409
0.23163,0.3671
0.24124,0.3926
0.25157,0.4176
0.26263,0.4424
0.27435,0.4668
0.28669,0.4904
0.30012,0.5125
0.31335,0.5335
0.32686,0.5528
0.34047,0.5697
0.35387,0.5836
0.37809,0.6012
0.38763,0.6044
0.39333,0.6012
0.39834,0.5998
0.40424,0.6016
0.41069,0.6052
0.41751,0.6097
0.42461,0.6147
0.43203,0.6199
0.43951,0.625
0.44711,0.63
0.45482,0.6349
0.46264,0.6393
0.47053,0.6433
0.47852,0.6469
0.48651,0.6499
0.49453,0.6524
0.50256,0.6543
0.51058,0.6556
0.51857,0.6563
0.52652,0.6563
0.53444,0.6558
0.54232,0.6546
0.55014,0.6527
0.55791,0.6502
0.56566,0.6471
0.5733,0.6433
0.58088,0.6389
0.5884,0.6339
0.59586,0.6282
0.60327,0.6219
0.61062,0.615
0.6179,0.6075
0.62514,0.5994
0.63234,0.5908
0.63951,0.5816
0.64664,0.5719
0.65375,0.5617
0.66086,0.5509
0.66796,0.5397
0.67508,0.528
0.68218,0.5158
0.68932,0.5032
0.69651,0.4901
0.70375,0.4767
0.71106,0.4629
0.71844,0.4486
0.7259,0.4341
0.73347,0.4192
0.74113,0.404
0.74891,0.3885
0.75683,0.3727
0.76493,0.3567
0.77321,0.3404
0.78171,0.3239
0.79044,0.3072
0.79944,0.2903
0.80868,0.2733
0.81823,0.256
0.8281,0.2387
0.83829,0.2211
0.84877,0.2035
0.85945,0.1857
0.87017,0.1678
0.88056,0.1498
0.89004,0.1316
0.89793,0.1132
0.90408,0.0945
