alpha,LD
-22.0,-3.401435204727733
-21.0,-3.524258760107817
-20.0,-3.629803096922194
-19.0,-3.909876866649201
-16.0,-9.74141541038526
-15.0,-13.799888361708065
-14.0,-19.08686793850713
-13.0,-25.029983209402737
-12.0,-29.161659513590845
-11.0,-34.83612273361227
-10.0,-39.560618388934095
-9.0,-42.70009199632015
-8.0,-44.55425369332654
-7.0,-46.37921187892633
-6.0,-43.83059418457648
-5.0,-38.14789219073946
-4.0,-34.250386398763524
-3.0,-28.354866494401378
-2.0,-19.87202925045704
-1.0,-10.323809523809523
0.0,-0.0
1.0,10.323809523809523
2.0,19.87202925045704
3.0,28.34625322997416
4.0,34.250386398763524
5.0,38.15480304077402
6.0,43.87096774193548
7.0,46.3906339234723
8.0,44.56676860346585
9.0,42.728946157386105
10.0,39.62148962148962
11.0,34.9163179916318
12.0,29.30945558739255
13.0,25.143953934740882
14.0,19.17252869307664
15.0,13.971988795518207
16.0,9.887510513036165
19.0,3.913721413721414
20.0,3.619466515323496
21.0,3.5204058925630872
