time,roll_measured,roll_reference,pitch_measured,pitch_reference,yaw_measured,yaw_reference
0.000283237,-1.3902783629330002,-0.3099193279892011,0.8764794932869967,-6.337480588034931,30.90428626585584,18.034722504910487
0.000309254,0.0868450057501483,-0.3099193279892011,-6.902624613752849,-6.337480588034931,12.333266706304594,18.034722504910487
0.003882664,0.0868450057501483,-0.3577716634643447,-6.902624613752849,-6.229199682280168,12.333266706304594,18.039332753937213
0.006574299,0.0868450057501483,-0.3602677356746583,-6.902624613752849,-6.189550627071685,12.333266706304594,18.039355755071814
0.009480196,0.0868450057501483,-0.377358117584089,-6.902624613752849,-6.156909208735446,12.333266706304594,18.04098474473313
0.01031025,0.0994483796462679,-0.377358117584089,-6.859810673786992,-6.156909208735446,12.327777715256534,18.04098474473313
0.012833741,0.0994483796462679,-0.3705273766756716,-6.859810673786992,-6.049853268038067,12.327777715256534,18.039563698312367
0.016107226,0.0994483796462679,-0.3984935653693749,-6.859810673786992,-6.0805541469161,12.327777715256534,18.042723624872497
0.019414385,0.0994483796462679,-0.4502198777048261,-6.859810673786992,-6.141414916369352,12.327777715256534,18.04867863928464
0.020292708,0.1459931475775224,-0.4502198777048261,-6.838460428864137,-6.141414916369352,12.276249038197964,18.04867863928464
0.022772762,0.1459931475775224,-0.4752635278889858,-6.838460428864137,-6.138458504171754,12.276249038197964,18.05133366830009
0.026436372,0.1459931475775224,-0.5042376371865649,-6.838460428864137,-6.244869891775715,12.276249038197964,18.055363181419548
0.029431356,0.1459931475775224,-0.5310857451893057,-6.838460428864137,-6.362199769897138,12.276249038197964,18.05936490505091
0.030350799,0.0971433758338856,-0.5310857451893057,-6.800537674842853,-6.362199769897138,12.199984848148024,18.05936490505091
0.03266308,0.0971433758338856,-0.5571104970835216,-6.800537674842853,-6.41088668492839,12.199984848148024,18.06271952945094
0.035986034,0.0971433758338856,-0.5543703334696468,-6.800537674842853,-6.53032854797274,12.199984848148024,18.063561883123747
0.03924164,0.0971433758338856,-0.5531403900266254,-6.800537674842853,-6.6380997146439,12.199984848148024,18.064455594105
0.040363656,0.1639190359426529,-0.5531403900266254,-6.704028494016868,-6.6380997146439,12.179157162072917,18.064455594105
0.042801982,0.1639190359426529,-0.5383723910276358,-6.704028494016868,-6.646123278692669,12.179157162072917,18.06282318325765
0.046063132,0.1639190359426529,-0.5319705480643729,-6.704028494016868,-6.725954053303711,12.179157162072917,18.062818369959384
0.049339169,0.1639190359426529,-0.5219197952748713,-6.704028494016868,-6.78128057379907,12.179157162072917,18.06214161892255
0.050301549,0.1984949775425659,-0.5219197952748713,-6.617811278726147,-6.78128057379907,12.143214213879023,18.06214161892255
