speed,mean_bank,max_bank,ideal_bank
3.0,25.543112296275122,29.84707646495788,11.279163742295072
5.0,40.55260700837828,57.29099655798896,28.98664323766572
6.5,34.179225062940525,70.03839702766311,43.11477761182374
8.0,16.99749180991242,76.77311794708064,54.8125754345433
