cmd,throttle_pct,thrust_N,voltage_V
0.005568,0.0,-0.051692,22.77591836734694
0.058812,5.595572641344854,0.39146626530612244,22.77591836734694
0.10717,10.677660797571932,0.834624530612245,22.77591836734694
0.150837,15.266757607158096,1.2777827959183674,22.77591836734694
0.190093,19.392289115095775,1.7209410612244898,22.77591836734694
0.225291,23.091353156678977,2.164099326530612,22.77591836734694
0.256836,26.406512404128897,2.607257591836735,22.77591836734694
0.285169,29.38411287830859,3.0504158571428572,22.77591836734694
0.310751,32.072602460437736,3.4935741224489796,22.77591836734694
0.334041,34.52021884570032,3.936732387755102,22.77591836734694
0.355485,36.77383352004859,4.379890653061224,22.77591836734694
0.375501,38.8773753649355,4.823048918367347,22.77591836734694
0.394465,40.87035935506517,5.26620718367347,22.77591836734694
0.412708,42.787571279339346,5.709365448979592,22.77591836734694
0.430503,44.65770153162564,6.1525237142857145,22.77591836734694
0.448069,46.503765482828854,6.595681979591837,22.77591836734694
0.465565,48.342472922783955,7.038840244897959,22.77591836734694
0.483097,50.18496371138094,7.481998510204082,22.77591836734694
0.50072,52.03701796460047,7.925156775510204,22.77591836734694
0.518447,53.90000189167432,8.368315040816327,22.77591836734694
0.536255,55.77149835319241,8.81147330612245,22.77591836734694
0.554096,57.6464628842989,9.254631571428572,22.77591836734694
0.571905,59.518064438834806,9.697789836734694,22.77591836734694
0.589611,61.378841412534236,10.140948102040817,22.77591836734694
0.607141,63.22112201509557,10.58410636734694,22.77591836734694
0.624434,65.03849557243116,11.027264632653063,22.77591836734694
0.641441,66.82581252666736,11.470422897959185,22.77591836734694
0.658133,68.58002518028707,11.913581163265308,22.77591836734694
0.674499,70.29997751009418,12.35673942857143,22.77591836734694
0.690551,71.98693063230264,12.799897693877552,22.77591836734694
0.706319,73.64403733744737,13.243055959183675,22.77591836734694
0.721848,75.27602681133071,13.686214224489797,22.77591836734694
0.737194,76.88878426295113,14.12937248979592,22.77591836734694
0.752418,78.48872036639631,14.572530755102042,22.77591836734694
0.767577,80.08182542368249,15.015689020408164,22.77591836734694
0.782721,81.67335408570125,15.458847285714286,22.77591836734694
0.797882,83.26666932902312,15.902005551020409,22.77591836734694
0.81307,84.86282208382639,16.345163816326533,22.77591836734694
0.828265,86.45971048975449,16.788322081632653,22.77591836734694
0.843417,88.05207989591587,17.231480346938778,22.77591836734694
0.858438,89.63068211674154,17.674638612244898,22.77591836734694
0.873206,91.18269580405617,18.117796877551022,22.77591836734694
0.887558,92.69099079595348,18.560955142857143,22.77591836734694
0.901301,94.13528413999231,19.004113408163267,22.77591836734694
0.914212,95.49214009319648,19.447271673469388,22.77591836734694
0.92604,96.73518030809069,19.89042993877551,22.77591836734694
0.93652,97.83655513494995,20.333588204081632,22.77591836734694
0.945375,98.7671538078353,20.776746469387756,22.77591836734694
0.952327,99.49776046779004,21.21990473469388,22.77591836734694
0.957106,100.0,21.663063,22.77591836734694
