voltage_V,force_N,cmd
20.48,-0.051692,0.059534
20.48,0.39146626530612244,0.115019
20.48,0.834624530612245,0.165642
20.48,1.2777827959183674,0.211578
20.48,1.7209410612244898,0.25309
20.48,2.164099326530612,0.290512
20.48,2.607257591836735,0.32423
20.48,3.0504158571428572,0.35467
20.48,3.4935741224489796,0.382278
20.48,3.936732387755102,0.4075
20.48,4.379890653061224,0.430774
20.48,4.823048918367347,0.452508
20.48,5.26620718367347,0.473077
20.48,5.709365448979592,0.492809
20.48,6.1525237142857145,0.511978
20.48,6.595681979591837,0.530808
20.48,7.038840244897959,0.549465
20.48,7.481998510204082,0.568062
20.48,7.925156775510204,0.586666
20.48,8.368315040816327,0.605299
20.48,8.81147330612245,0.623951
20.48,9.254631571428572,0.642586
20.48,9.697789836734694,0.661148
20.48,10.140948102040817,0.679577
20.48,10.58410636734694,0.697808
20.48,11.027264632653063,0.715785
20.48,11.470422897959185,0.733463
20.48,11.913581163265308,0.750813
20.48,12.35673942857143,0.767822
20.48,12.799897693877552,0.784496
20.48,13.243055959183675,0.800858
20.48,13.686214224489797,0.816939
20.48,14.12937248979592,0.832784
20.48,14.572530755102042,0.848435
20.48,15.015689020408164,0.863933
20.48,15.458847285714286,0.879309
20.48,15.902005551020409,0.894575
20.48,16.345163816326533,0.90972
20.48,16.788322081632653,0.924707
20.48,17.231480346938778,0.939467
20.48,17.674638612244898,0.953895
20.48,18.117796877551022,0.967854
20.48,18.560955142857143,0.981172
20.48,19.004113408163267,0.993647
20.48,19.447271673469388,1.005049
20.48,19.89042993877551,1.015128
20.48,20.333588204081632,1.02362
20.48,20.776746469387756,1.030255
20.48,21.21990473469388,1.034764
20.48,21.663063,1.03689
20.57183673469388,-0.051692,0.056535
20.57183673469388,0.39146626530612244,0.111935
20.57183673469388,0.834624530612245,0.16247
20.57183673469388,1.2777827959183674,0.208318
20.57183673469388,1.7209410612244898,0.249742
20.57183673469388,2.164099326530612,0.287075
20.57183673469388,2.607257591836735,0.320708
20.57183673469388,3.0504158571428572,0.351066
20.57183673469388,3.4935741224489796,0.378594
20.57183673469388,3.936732387755102,0.403743
20.57183673469388,4.379890653061224,0.426947
20.57183673469388,4.823048918367347,0.448619
20.57183673469388,5.26620718367347,0.469132
20.57183673469388,5.709365448979592,0.488814
20.57183673469388,6.1525237142857145,0.507941
20.57183673469388,6.595681979591837,0.526735
20.57183673469388,7.038840244897959,0.545362
20.57183673469388,7.481998510204082,0.563936
20.57183673469388,7.925156775510204,0.582522
20.57183673469388,8.368315040816327,0.601142
20.57183673469388,8.81147330612245,0.619787
20.57183673469388,9.254631571428572,0.638418
20.57183673469388,9.697789836734694,0.65698
20.57183673469388,10.140948102040817,0.675411
20.57183673469388,10.58410636734694,0.693648
20.57183673469388,11.027264632653063,0.711632
20.57183673469388,11.470422897959185,0.72932
20.57183673469388,11.913581163265308,0.74668
20.57183673469388,12.35673942857143,0.763702
20.57183673469388,12.799897693877552,0.78039
20.57183673469388,13.243055959183675,0.796767
20.57183673469388,13.686214224489797,0.812867
20.57183673469388,14.12937248979592,0.828731
20.57183673469388,14.572530755102042,0.844405
20.57183673469388,15.015689020408164,0.859931
20.57183673469388,15.458847285714286,0.875337
20.57183673469388,15.902005551020409,0.890638
20.57183673469388,16.345163816326533,0.905825
20.57183673469388,16.788322081632653,0.920859
20.57183673469388,17.231480346938778,0.935672
20.57183673469388,17.674638612244898,0.950161
20.57183673469388,18.117796877551022,0.964189
20.57183673469388,18.560955142857143,0.977583
20.57183673469388,19.004113408163267,0.990142
20.57183673469388,19.447271673469388,1.001636
20.57183673469388,19.89042993877551,1.011815
20.57183673469388,20.333588204081632,1.020415
20.57183673469388,20.776746469387756,1.027164
20.57183673469388,21.21990473469388,1.031794
20.57183673469388,21.663063,1.034047
20.663673469387756,-0.051692,0.053603
20.663673469387756,0.39146626530612244,0.108917
20.663673469387756,0.834624530612245,0.159364
20.663673469387756,1.2777827959183674,0.205123
20.663673469387756,1.7209410612244898,0.246457
20.663673469387756,2.164099326530612,0.283703
20.663673469387756,2.607257591836735,0.31725
20.663673469387756,3.0504158571428572,0.347525
20.663673469387756,3.4935741224489796,0.374974
20.663673469387756,3.936732387755102,0.400048
20.663673469387756,4.379890653061224,0.423184
20.663673469387756,4.823048918367347,0.444793
20.663673469387756,5.26620718367347,0.465249
20.663673469387756,5.709365448979592,0.48488
20.663673469387756,6.1525237142857145,0.503963
20.663673469387756,6.595681979591837,0.52272
20.663673469387756,7.038840244897959,0.541316
20.663673469387756,7.481998510204082,0.559864
20.663673469387756,7.925156775510204,0.578431
20.663673469387756,8.368315040816327,0.597037
20.663673469387756,8.81147330612245,0.615672
20.663673469387756,9.254631571428572,0.634297
20.663673469387756,9.697789836734694,0.652857
20.663673469387756,10.140948102040817,0.671288
20.663673469387756,10.58410636734694,0.689527
20.663673469387756,11.027264632653063,0.707516
20.663673469387756,11.470422897959185,0.72521
20.663673469387756,11.913581163265308,0.742578
20.663673469387756,12.35673942857143,0.759609
20.663673469387756,12.799897693877552,0.776308
20.663673469387756,13.243055959183675,0.792697
20.663673469387756,13.686214224489797,0.808811
20.663673469387756,14.12937248979592,0.824693
20.663673469387756,14.572530755102042,0.840387
20.663673469387756,15.015689020408164,0.855936
20.663673469387756,15.458847285714286,0.87137
20.663673469387756,15.902005551020409,0.886703
20.663673469387756,16.345163816326533,0.901927
20.663673469387756,16.788322081632653,0.917006
20.663673469387756,17.231480346938778,0.931869
20.663673469387756,17.674638612244898,0.946416
