speed,rms_error_3d,rms_error_xy,max_error_xy,max_error_3d,mean_error
3.0,0.06408561411648112,0.032393252713469704,0.05563576313892957,0.08799540270746176,0.029083984016377348
5.0,0.2380056370563663,0.10875318164303575,0.1721118036921986,0.3102736791528967,0.10195154440491667
6.5,0.15520485524815916,0.13701139317477606,0.3476743596343475,0.38562355184553665,0.09836974514683573
8.0,0.18369641506883544,0.16220150537005842,0.4538924452769937,0.5378864952884527,0.09752175153019615
