time,error_x,error_y,error_z,error_horizontal
0.000283237,,,,
0.000309254,-0.0028956228610684,0.0024224349931492,0.0181506832951683,0.003775291121168765
0.003882664,-0.006682447067805,0.0011919838185057,0.0175966436084404,0.006787924884498581
0.006574299,,,,
0.009480196,,,,
0.01031025,,,,
0.012833741,-0.0066110720340537,0.0011023639526794,0.0179054642039371,0.006702348821391936
0.016107226,,,,
0.019414385,,,,
0.020292708,,,,
0.022772762,-0.0064849945638293,0.0009834202523437,0.0181576445379387,0.006559136367359297
0.026436372,,,,
0.029431356,,,,
0.030350799,,,,
0.03266308,-0.0063259550916714,0.0008318000466234,0.0183994191007568,0.006380407443056125
0.035986034,,,,
0.03924164,,,,
0.040363656,,,,
0.042801982,-0.0062505477481739,0.0007361841178874,0.0187890742476266,0.00629375199762681
0.046063132,,,,
0.049339169,,,,
0.050301549,,,,
0.052657128,-0.0062215825269362,0.000671219163133,0.0190788970088051,0.006257685219347071
0.055953536,,,,
0.059797402,,,,
0.060323221,,,,
0.062748636,-0.0060910266967282,0.0005627566062038,0.0194452941891767,0.006116968302850822
0.066608508,,,,
0.069668836,,,,
0.070318263,,,,
0.073306215,-0.0060736716249574,0.0004773057166871,0.0195190741018487,0.006092397537504825
0.076174888,-0.0060152626329153,0.0003649599295969,0.0196303275720295,0.00602632394525539
0.079433403,,,,
0.080354566,,,,
0.082858078,-0.0059900615294426,0.000346168781081,0.0200435234593827,0.006000055829032204
0.086005861,,,,
0.089360818,,,,
0.09030459,,,,
0.092783088,-0.0059549933344224,0.0002304003683408,0.0204674134697997,0.005959448795211415
0.095965056,,,,
0.099295769,,,,
0.100310226,,,,
0.10265078,-0.0058865031385917,9.64932796807e-05,0.0207755665829845,0.005887293958490053
0.105907799,,,,
0.109397494,,,,
0.110327481,,,,
0.112786091,-0.0059124512802288,-2.71563445162e-05,0.0209954746099843,0.005912513645491794
0.116073969,,,,
0.119537208,,,,
0.120328973,,,,
0.122747904,-0.0059027131242432,-0.0001098030390385,0.0215134555916942,0.005903734321130568
0.125951367,,,,
0.12928226,,,,
0.130334687,,,,
0.13261339,-0.0058841224475093,-0.0003397731888781,0.0217630183796087,0.005893924227300791
0.135916912,,,,
0.139287142,,,,
0.140377112,,,,
0.142778693,-0.005926322189972,-0.0002795406725271,0.0222215368065683,0.0059329114005647705
0.145881202,,,,
0.149867735,,,,
0.150313711,,,,
0.152567696,-0.0058881888570725,-0.0005342953686713,0.0224841298825413,0.005912380193926669
0.155852085,,,,
0.159363074,,,,
0.16032015,,,,
0.168756193,-0.0059690356571901,-0.000631598244599,0.0229536398675938,0.006002358121554177
0.170318663,,,,
0.1799126,,,,
0.17991553,,,,
0.179918667,-0.0059518998932341,-0.0006582589990458,0.0230385537556079,0.00598818981403436
0.179920998,-0.0059256211898791,-0.0006766230001327,0.0231111872035236,0.0059641265219856614
0.180321342,,,,
0.184609773,-0.0059038040577648,-0.0006973145866013,0.0232009605776242,0.005944842301118429
0.184619341,-0.005934515956928,-0.0007389880705912,0.0233580130789341,0.005980349739898926
0.186014583,-0.0059630117115693,-0.0008055755398839,0.0236460468097012,0.00601718045456274
0.18944988,,,,
0.190318621,,,,
0.194168101,-0.0059654969342646,-0.0009455018656128,0.0239909376381388,0.006039960881545312
0.195762896,,,,
0.19969034,,,,
0.200310417,,,,
0.203130032,-0.0060148642713055,-0.0009842117483271,0.0241357083269111,0.006094855615006193
