alpha,CD
-36.0,0.42998
-35.0,0.42259
-34.0,0.41443
-33.0,0.40576
-32.0,0.39654
-31.0,0.38674
-30.0,0.37667
-29.0,0.36636
-28.0,0.35574
-27.0,0.34476
-26.0,0.33341
-24.0,0.30929
-23.0,0.29796
-22.0,0.2861
-21.0,0.2736
-20.0,0.2606
-19.0,0.2473
-18.0,0.23377
-17.0,0.21994
-16.0,0.20562
-15.0,0.1902
-14.0,0.17722
-13.0,0.16261
-12.0,0.14756
-11.0,0.13208
-10.0,0.11628
-8.0,0.07908
-7.0,0.03999
-6.0,0.0158
-5.0,0.01244
-4.0,0.00964
-3.0,0.00844
-2.0,0.00743
-1.0,0.00684
1.0,0.00616
2.0,0.0069
3.0,0.00777
4.0,0.00881
5.0,0.0101
6.0,0.01172
7.0,0.01381
8.0,0.01623
9.0,0.01933
10.0,0.02382
11.0,0.0287
12.0,0.0353
13.0,0.04805
14.0,0.07278
15.0,0.10525
16.0,0.14311
17.0,0.218
18.0,0.23962
19.0,0.25938
20.0,0.27483
