CD,CL
0.24659,-0.7665
0.23375,-0.7319
0.22052,-0.6976
0.20726,-0.6633
0.19544,-0.6372
0.17793,-0.6051
0.16407,-0.5773
0.14985,-0.5527
0.13517,-0.5311
0.12015,-0.5148
0.10198,-0.501
0.08562,-0.4893
0.06291,-0.4658
0.03314,-0.3999
0.01985,-0.3082
0.01445,-0.1928
0.01145,-0.0475
0.00951,0.0852
0.00843,0.1992
0.0077,0.3019
0.00814,0.4104
0.00884,0.5181
0.0098,0.6248
0.01103,0.7305
0.01256,0.8345
0.01453,0.9357
0.01721,1.0323
0.02092,1.1216
0.02642,1.1956
0.03293,1.2548
0.04277,1.2674
0.05796,1.2324
0.08297,1.1744
0.17889,0.9884
0.20484,0.9924
0.22538,1.0125
0.23885,1.0405
0.26057,1.0686
