alpha,LD
-19.0,-3.1083985563080416
-18.0,-3.131122994652406
-17.0,-3.1634318882641033
-16.0,-3.2003280903213356
-15.0,-3.260335652885796
-14.0,-3.4007755859045687
-13.0,-3.5186201011763276
-12.0,-3.6883550216883547
-11.0,-3.929126285418362
-10.0,-4.284644194756554
-9.0,-4.9127279858795845
-8.0,-5.714786264891381
-7.0,-7.404228262597362
-6.0,-12.066988533494266
-5.0,-15.526448362720402
-4.0,-13.342560553633218
-3.0,-4.148471615720524
-2.0,8.958990536277604
-1.0,23.629893238434164
0.0,39.20779220779221
1.0,50.417690417690416
2.0,58.60859728506787
3.0,63.75510204081633
4.0,66.22846781504987
5.0,66.44108280254777
6.0,64.39779766001377
7.0,59.98256827425915
8.0,53.61376673040152
9.0,45.253595760787285
10.0,38.105071363498325
11.0,29.632920271218143
12.0,21.26293995859213
13.0,14.154513679643246
15.0,5.525183073397059
16.0,4.844756883421207
17.0,4.492412813914278
18.0,4.3562905589281975
19.0,4.101009325709022
