alpha,CD
-23.0,0.24048
-22.0,0.1844
-21.0,0.16103
-20.0,0.13364
-19.0,0.1044
-18.0,0.08276
-17.0,0.06249
-16.0,0.04692
-15.0,0.03606
-14.0,0.02948
-13.0,0.02528
-12.0,0.02216
-11.0,0.01971
-10.0,0.01805
-9.0,0.01673
-8.0,0.01575
-7.0,0.0138
-6.0,0.01238
-5.0,0.01119
-4.0,0.01029
-3.0,0.00961
-2.0,0.00877
-1.0,0.00828
0.0,0.00798
1.0,0.00828
2.0,0.00877
3.0,0.00961
4.0,0.01029
5.0,0.01119
6.0,0.01238
7.0,0.0138
8.0,0.01575
9.0,0.01673
10.0,0.01804
11.0,0.0197
12.0,0.02214
13.0,0.02523
14.0,0.02935
15.0,0.03578
16.0,0.04661
17.0,0.06223
18.0,0.08255
19.0,0.1043
20.0,0.13404
21.0,0.1623
22.0,0.18624
23.0,0.24376
