alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp,airfoil,Reynolds,NCrit
-36.0,-1.2626,0.42998,0.42795,0.2412,1.0,0.0014,-2.105,0.0,0.0,0.0,0.3961,AG25,0.5,5.0
-35.0,-1.2446,0.42259,0.42052,0.2299,1.0,0.0015,-2.0021,0.0,0.0,0.0,0.3932,AG25,0.5,5.0
-34.0,-1.2247,0.41443,0.41232,0.2188,1.0,0.0017,-1.9131,0.0,0.0,0.0,0.3902,AG25,0.5,5.0
-33.0,-1.2029,0.40576,0.40362,0.2078,1.0,0.0019,-1.908,0.0,0.0,0.0,0.3872,AG25,0.5,5.0
-32.0,-1.1794,0.39654,0.39435,0.1969,1.0,0.0024,-1.928,0.0,0.0,0.0,0.3842,AG25,0.5,5.0
-31.0,-1.1538,0.38674,0.38452,0.1862,1.0,0.0026,-1.962,0.0,0.0,0.0,0.3811,AG25,0.5,5.0
-30.0,-1.1268,0.37667,0.37442,0.1756,1.0,0.0027,-1.9567,0.0,0.0,0.0,0.3779,AG25,0.5,5.0
-29.0,-1.0987,0.36636,0.36407,0.165,1.0,0.0028,-1.9133,0.0,0.0,0.0,0.3745,AG25,0.5,5.0
-28.0,-1.0695,0.35574,0.35343,0.1546,1.0,0.0028,-1.8503,0.0,0.0,0.0,0.3709,AG25,0.5,5.0
-27.0,-1.039,0.34476,0.34243,0.1443,1.0,0.0028,-1.8794,0.0,0.0,0.0,0.3672,AG25,0.5,5.0
-26.0,-1.0073,0.33341,0.33105,0.1341,1.0,0.0028,-1.9471,0.0,0.0,0.0,0.3633,AG25,0.5,5.0
-24.0,-0.9428,0.30929,0.30691,0.1148,1.0,0.003,-2.067,0.0,0.0,0.0,0.3552,AG25,0.5,5.0
-23.0,-0.9106,0.29796,0.29555,0.1058,1.0,0.0033,-1.8969,0.0,0.0,0.0,0.3512,AG25,0.5,5.0
-22.0,-0.8765,0.2861,0.28368,0.0967,1.0,0.0039,-1.7846,0.0,0.0,0.0,0.3467,AG25,0.5,5.0
-21.0,-0.8415,0.2736,0.27117,0.0878,1.0,0.0044,-1.7154,0.0,0.0,0.0,0.342,AG25,0.5,5.0
-20.0,-0.8055,0.2606,0.25815,0.0791,1.0,0.0048,-1.6584,0.0,0.0,0.0,0.337,AG25,0.5,5.0
-19.0,-0.7694,0.2473,0.24485,0.0705,1.0,0.005,-1.7051,0.0,0.0,0.0,0.3314,AG25,0.5,5.0
-18.0,-0.7343,0.23377,0.23133,0.062,1.0,0.0051,-1.7966,0.0,0.0,0.0,0.3252,AG25,0.5,5.0
