alpha,CL
-49.0,-1.3689
-48.0,-1.373
-47.0,-1.3752
-46.0,-1.3761
-45.0,-1.375
-44.0,-1.3726
-43.0,-1.3683
-42.0,-1.3627
-41.0,-1.3551
-40.0,-1.3464
-39.0,-1.3358
-38.0,-1.3241
-37.0,-1.3106
-36.0,-1.2961
-35.0,-1.2799
-34.0,-1.2627
-33.0,-1.2445
-32.0,-1.2245
-31.0,-1.204
-30.0,-1.1827
-29.0,-1.1594
-28.0,-1.1362
-27.0,-1.1117
-26.0,-1.0869
-25.0,-1.0616
-24.0,-1.0353
-23.0,-1.0086
-22.0,-0.9818
-21.0,-0.9548
-20.0,-0.9263
-19.0,-0.8978
-18.0,-0.8689
-17.0,-0.8395
-16.0,-0.8082
-15.0,-0.7763
-13.0,-0.5662
-12.0,-0.546
-11.0,-0.5218
-10.0,-0.4932
-9.0,-0.4596
-8.0,-0.421
-7.0,-0.3775
-6.0,-0.3293
-5.0,-0.2767
-4.0,-0.2204
-3.0,-0.1609
-2.0,-0.0989
1.0,0.0908
2.0,0.154
3.0,0.2147
5.0,0.3301
7.0,0.5131
8.0,0.5746
9.0,0.6343
10.0,0.6916
11.0,0.7464
12.0,0.7984
13.0,0.8479
14.0,0.8947
15.0,0.9391
16.0,0.9817
17.0,1.0223
18.0,1.0608
19.0,1.0973
20.0,1.1319
21.0,1.1648
