alpha,CL
-36.0,-1.2626
-35.0,-1.2446
-34.0,-1.2247
-33.0,-1.2029
-32.0,-1.1794
-31.0,-1.1538
-30.0,-1.1268
-29.0,-1.0987
-28.0,-1.0695
-27.0,-1.039
-26.0,-1.0073
-24.0,-0.9428
-23.0,-0.9106
-22.0,-0.8765
-21.0,-0.8415
-20.0,-0.8055
-19.0,-0.7694
-18.0,-0.7343
-17.0,-0.7006
-16.0,-0.6682
-15.0,-0.6395
-14.0,-0.6102
-13.0,-0.5829
-12.0,-0.56
-11.0,-0.5393
-10.0,-0.5209
-8.0,-0.5114
-7.0,-0.4775
-6.0,-0.3945
-5.0,-0.2609
-4.0,-0.1346
-3.0,-0.0216
-2.0,0.0866
-1.0,0.1962
1.0,0.4083
2.0,0.5191
3.0,0.629
4.0,0.7377
5.0,0.8446
6.0,0.9489
7.0,1.0495
8.0,1.1468
9.0,1.238
10.0,1.315
11.0,1.3792
12.0,1.4049
13.0,1.381
14.0,1.3239
15.0,1.2495
16.0,1.1659
17.0,1.0268
18.0,1.047
19.0,1.0739
20.0,1.1037
