alpha,CL
-26.0,-0.7915
-25.0,-0.7876
-24.0,-0.7771
-23.0,-0.7694
-22.0,-0.7556
-21.0,-0.7446
-20.0,-0.7376
-19.0,-0.7227
-18.0,-0.6906
-17.0,-0.6687
-16.0,-0.6593
-15.0,-0.784
-14.0,-0.9153
-13.0,-0.9621
-12.0,-0.9638
-11.0,-0.9391
-10.0,-0.9099
-9.0,-0.8885
-8.0,-0.8472
-7.0,-0.7888
-6.0,-0.7297
-5.0,-0.6561
-4.0,-0.5139
-3.0,-0.3813
-2.0,-0.2463
-1.0,-0.1321
0.0,0.0
1.0,0.132
2.0,0.2463
3.0,0.3812
4.0,0.514
5.0,0.6562
6.0,0.7294
7.0,0.7886
8.0,0.8472
9.0,0.889
10.0,0.9113
11.0,0.9419
12.0,0.9677
13.0,0.9664
14.0,0.9213
15.0,0.6862
16.0,0.6655
17.0,0.6748
18.0,0.6969
20.0,0.7433
21.0,0.7488
22.0,0.7585
23.0,0.7703
24.0,0.7739
25.0,0.7783
26.0,0.7653
27.0,0.6905
28.0,0.6763
