alpha,LD
-47.0,-2.143366966226519
-46.0,-2.178626231293415
-45.0,-2.2130789641621607
-44.0,-2.2462801436634168
-43.0,-2.2783596786280693
-42.0,-2.3091823497005564
-41.0,-2.3387126019945605
-40.0,-2.3666623470388948
-39.0,-2.393138144953851
-38.0,-2.41801376749942
-37.0,-2.441296908073035
-36.0,-2.4626351816598486
-35.0,-2.482207697893972
-34.0,-2.499840449294786
-33.0,-2.515443214808024
-32.0,-2.5285784731250285
-31.0,-2.5395618823854607
-30.0,-2.547974413646055
-29.0,-2.553834898183148
-28.0,-2.557029444276957
-27.0,-2.557440746017355
-26.0,-2.5546703737368337
-25.0,-2.5488030482922386
-24.0,-2.53946053946054
-23.0,-2.527173913043478
-22.0,-2.511011868346996
-21.0,-2.4918355052474714
-20.0,-2.468997730337818
-19.0,-2.4428576309405856
-18.0,-2.413878826621209
-17.0,-2.38186721838401
-16.0,-2.347578566757703
-15.0,-2.312535087015799
-14.0,-2.2775011506757603
-13.0,-2.2433460076045626
-12.0,-2.21135834056746
-11.0,-2.1823917407513624
-10.0,-2.157971086989145
-9.0,-2.137065132095213
-8.0,-2.1115842340866906
-7.0,-2.0639864099660246
-6.0,-1.9509366119584757
-5.0,-1.7450340942780909
-4.0,-1.4412886816447648
-3.0,-1.0555521302176458
-2.0,-0.613125
-1.0,-0.1367790734320832
0.0,0.3484695168226663
1.0,0.8281743524952622
2.0,1.285175879396985
3.0,1.7052526761264628
4.0,2.0838455864273424
5.0,2.4166313623434004
6.0,2.694692094231564
7.0,2.9125214408233275
8.0,3.0740434902284615
9.0,3.1785356596911076
10.0,3.239096534030887
11.0,3.263440088084638
12.0,3.2639046796125335
13.0,3.251705968731105
14.0,3.229008572952131
15.0,3.201964682493276
16.0,3.174150012976901
17.0,3.1466826821168663
18.0,3.119417573898682
19.0,3.0928996940911286
20.0,3.0671349785870534
21.0,3.0425670090919823
22.0,3.0182745431364215
23.0,2.9939549068728892
24.0,2.969446045804727
25.0,2.9446660271621146
26.0,2.919213814267274
27.0,2.8930344162412664
28.0,2.865817602911076
29.0,2.8379270870024658
30.0,2.8088737201365186
31.0,2.7788811651770935
32.0,2.747775791777961
33.0,2.7155988368689132
34.0,2.682496298827013
35.0,2.648352054389595
36.0,2.613390928725702
37.0,2.577254461543861
38.0,2.540495188520941
39.0,2.5024661840191276
40.0,2.4638912489379776
41.0,2.4243053669292345
42.0,2.3841018184092437
43.0,2.343096874952152
44.0,2.301309847109484
45.0,2.2590848903928205
46.0,2.215950920245399
47.0,2.172415747852952
48.0,2.1280505631273403
