alpha,CD
-49.0,0.83406
-48.0,0.82469
-47.0,0.81508
-46.0,0.80538
-45.0,0.79541
-44.0,0.78541
-43.0,0.77512
-42.0,0.76484
-41.0,0.75428
-40.0,0.74376
-39.0,0.73296
-38.0,0.72224
-37.0,0.71126
-36.0,0.70037
-35.0,0.6893
-34.0,0.67826
-33.0,0.6673
-32.0,0.65601
-31.0,0.64491
-30.0,0.63398
-29.0,0.62247
-28.0,0.61128
-27.0,0.60011
-26.0,0.58882
-25.0,0.57773
-24.0,0.56695
-23.0,0.55579
-22.0,0.54499
-21.0,0.53452
-20.0,0.5247
-19.0,0.51481
-18.0,0.50563
-17.0,0.49725
-16.0,0.49036
-15.0,0.48301
-13.0,0.4514
-12.0,0.44505
-11.0,0.43872
-10.0,0.43238
-9.0,0.42602
-8.0,0.41973
-7.0,0.41359
-6.0,0.40776
-5.0,0.40237
-4.0,0.39754
-3.0,0.39339
-2.0,0.39
1.0,0.38566
2.0,0.38588
3.0,0.3872
5.0,0.39146
7.0,0.41563
8.0,0.42217
9.0,0.42928
10.0,0.43682
11.0,0.44468
12.0,0.45275
13.0,0.46097
14.0,0.46925
15.0,0.47764
16.0,0.48692
17.0,0.49716
18.0,0.50806
19.0,0.51953
20.0,0.53156
21.0,0.54386
