alpha,CD
-33.0,0.40107
-32.0,0.39125
-31.0,0.38208
-30.0,0.37261
-29.0,0.36274
-28.0,0.3525
-27.0,0.34227
-26.0,0.33328
-25.0,0.32509
-24.0,0.31657
-23.0,0.29712
-22.0,0.28435
-21.0,0.27227
-20.0,0.2599
-19.0,0.24825
-18.0,0.24101
-17.0,0.22134
-16.0,0.20746
-15.0,0.19406
-14.0,0.18169
-13.0,0.15004
-12.0,0.13896
-11.0,0.12838
-10.0,0.11241
-8.0,0.09032
-6.0,0.04139
-5.0,0.02649
-4.0,0.01923
-3.0,0.01536
-2.0,0.01266
-1.0,0.0111
0.0,0.01116
1.0,0.01134
2.0,0.01177
3.0,0.01259
4.0,0.01385
5.0,0.0156
6.0,0.01791
7.0,0.02116
8.0,0.0263
9.0,0.03358
10.0,0.04391
11.0,0.05653
12.0,0.07716
13.0,0.1148
16.0,0.20631
17.0,0.22516
18.0,0.24582
19.0,0.22554
20.0,0.23815
21.0,0.25139
22.0,0.26832
23.0,0.27926
24.0,0.29236
25.0,0.30606
26.0,0.31981
27.0,0.33748
28.0,0.34956
29.0,0.36313
30.0,0.37714
31.0,0.39102
32.0,0.40834
33.0,0.42103
34.0,0.43385
35.0,0.44716
36.0,0.46058
37.0,0.47363
38.0,0.48607
39.0,0.49801
