time_s,angle_of_attack_deg
2.5027933760000005,131.3629123097362
2.5127933760000003,132.2639475309262
2.5227933760000005,133.1032463663299
2.532013021,133.1578347685349
2.532017009,133.21189787769924
2.5320215260000003,133.26543107743453
2.532030214,133.3184297987059
2.5320356520000002,133.370889521244
2.532062057,133.42280577495072
2.532067688,133.47417414129802
2.5320724180000003,133.524990254719
2.5320769690000002,133.57524980399063
2.532086554,133.62494853360664
2.532101897,133.67408224514054
2.5321084050000002,133.722646798597
2.5321217220000003,133.77063811375143
2.5321269190000004,133.81805217147667
2.5327933760000003,133.86488501505573
2.535479868,134.04346192170746
2.535493277,134.21498567362568
2.538859275,134.3792460211165
2.5427933760000005,134.53604174361064
2.5527933760000003,135.10608818993938
2.562793376,135.56697750012515
2.5727933760000004,135.91390627967306
2.582793376,136.14386412807323
2.590192551,136.15223751398642
2.5902254960000004,136.16037230381076
2.5902347750000003,136.16826666434957
2.590240241,136.17591876252357
2.5902470490000002,136.18332676558722
2.5902565820000003,136.19048884134767
2.5902657380000003,136.1974031583864
2.590284881,136.2040678862833
2.59032798,136.2104811958434
2.590334876,136.2166412593263
2.590346801,136.22254625067808
2.590353833,136.2281943457654
2.59035985,136.23358372261256
2.590366096,136.23871256164088
2.5903759930000003,136.24357904591014
2.59040885,136.24818136136273
2.5927933760000004,136.25251769707023
2.59595366,136.25114675686862
2.602793376,136.2327134158849
2.6127933760000004,136.07532911878977
2.617333736,136.04463734883652
2.6173387690000003,136.01316632666797
2.6173490630000003,135.98090481553103
2.617351642,135.94784147821136
2.6173542050000003,135.91396487815638
2.617368758,135.87926348068893
2.6205393480000003,135.84372565431403
2.620543071,135.80733967212075
2.622793376,135.77009371328256
2.6327933760000004,135.30526376952395
2.642793376,134.66676291971768
2.6527933760000004,133.8365597894295
2.662793376,132.79092550724593
2.6697874390000003,132.70859793100655
2.66982505,132.625769042051
2.669846454,132.54243497147723
2.66986277,132.45859181787173
2.669886248,132.37423564708337
2.669928773,132.2893624919983
2.6699710760000004,132.20396835231568
2.6699923990000003,132.11804919432421
2.6700278340000003,132.03160095067966
2.670038366,131.944619520184
2.670054918,131.857100767565
2.6700842490000003,131.76904052325813
2.6701069840000002,131.68043458318937
2.6701258510000003,131.59127870855968
2.6727933760000004,131.5015686256318
2.6827933760000002,129.93993369025722
2.6846757820000002,129.0306556647934
2.6927933760000005,128.08098247338953
2.7027933760000002,125.90592596974776
2.7127933760000005,123.40747235422492
2.7227933760000003,120.59539952758266
2.723106484,120.42823929831783
2.723139313,120.26049461739039
2.723301637,120.09216543601926
2.723309617,119.92325174636967
2.723315019,119.75375358212071
2.7233235430000002,119.58367101903265
2.723329196,119.41300417551395
2.7233354070000004,119.24175321318789
2.7233414970000003,119.06991833745856
2.723349622,118.89749979807559
2.7233547220000003,118.72449788969826
2.72335969,118.55091295245781
2.723377534,118.37674537251834
2.723391737,118.20199558263594
2.7234043910000003,118.02666406271553
2.728842023,117.85075134036558
2.728861353,117.67425799145009
2.7327933760000005,117.49718464063784
2.7427933760000003,114.156126497957
2.7513276760000003,112.41033965607424
2.7527933760000005,110.63163422859677
2.7627933760000003,106.99982778720837
2.7727933760000005,103.35053949104645
2.7827933760000003,99.78149448961207
2.7927933760000005,96.39130397666098
2.8014536740000002,95.99731820667274
2.801475883,95.60437923528146
2.801491869,95.21252343698866
2.8016042310000002,94.82178652780408
2.801637306,94.43220355076684
2.8016533470000002,94.0438088623673
2.801676193,93.65663611987415
2.8027933760000003,93.27071826957044
2.807582031,93.08302695556493
2.807605687,92.8956924841902
2.807615905,92.70871893488004
2.8076264880000004,92.52211033109036
2.807687898,92.33587064009818
2.807832532,92.15000377281778
2.807951477,91.96451358363403
2.807969083,91.77940387025237
2.807989252,91.59467837356583
2.808000523,91.41034077753851
2.80834961,91.22639470910548
2.8083811290000003,91.04284373808899
2.808420279,90.85969137713089
2.8089492700000003,90.67694108164072
2.812793376,90.4945962497598
2.8227933760000004,88.1178159259295
2.832793376,86.173361579489
2.834210357,86.03379483709134
2.8342268020000003,85.89482598998092
2.834241264,85.75645881714983
2.8342580230000003,85.6186969431024
2.8342679430000004,85.48154383928124
2.8342817620000003,85.34500282554387
2.836579607,85.20907707168782
2.83659556,85.07376959902136
2.836609793,84.93908328197818
2.8366355050000003,84.80502084977294
2.8427933760000004,84.67158488809596
2.843756695,84.30828672200346
2.843816891,83.95198223514505
