velocity_mps,Fx_aero_N,Fy_aero_N,Fz_aero_N
0.018520564300299316,-0.33049244100120356,-0.12103725270371271,1.3144000558001652
0.018518806927653154,-0.37287340930957785,-0.11470888901852608,1.3428466144321949
0.018543156285581428,-0.4140729568023735,-0.10994724866680959,1.368944151829765
0.01859969566001353,-0.4515188053718463,-0.10786940981553242,1.3902002273037497
0.018690956678675767,-0.48381110961711365,-0.10946989585599044,1.4051022860316889
0.018817181157395134,-0.5111560293922199,-0.11503362527559366,1.412770679703403
0.018977235981407926,-0.5346732998861662,-0.12388090153561027,1.4127253566031326
0.01916889626847076,-0.5545826315435518,-0.13432582974638416,1.4051514907439193
0.01938890715652403,-0.5707406027396671,-0.14458057922788056,1.3911945804686596
0.01963314466035693,-0.5852762734421678,-0.15403868010943061,1.37252199680435
0.019896934748475457,-0.6025860745205542,-0.16312259881041133,1.3505588464601703
0.020175165437278257,-0.6259714205567819,-0.17177570304723566,1.3265217459559382
0.02046228083759638,-0.6551618104699103,-0.17870683179033345,1.3020536788256938
0.02075304446505907,-0.6868258390052571,-0.18220426128423467,1.2792666046667496
0.021043981892856663,-0.7170935300063426,-0.18145925062306079,1.260183909594133
0.021333995384027866,-0.7441646344765037,-0.17721704438825747,1.2462532229291563
0.02162332380192604,-0.7680167727252712,-0.17106955968349485,1.2380650673441926
0.0219119826308264,-0.7873358182681256,-0.16407280661483792,1.235515510043787
0.022199167405139247,-0.7985288340012512,-0.15629768028258392,1.2382624612369635
0.022483521412161842,-0.7979627747720979,-0.14733996567021732,1.2458707374562372
0.022763364805914912,-0.7837103802709597,-0.13681989449503476,1.2577220595718004
0.023036168075715627,-0.7562490175709258,-0.12495921281127616,1.272893728499816
0.02329723343829086,-0.7191673880473187,-0.11320922885557416,1.289911144034953
0.02353935835624929,-0.6785761802617467,-0.10396180069930448,1.3066654682411374
0.023754516933507677,-0.6410836070908167,-0.09921506402787504,1.320898677111491
0.023935741963648748,-0.6119022219846839,-0.09949179161533371,1.330977897834268
0.02407789869448271,-0.5934258380326115,-0.10383298282824993,1.3363994033993831
