time_s,x_m,y_m,z_m
2.5027933760000005,-4.975511192842748,19.977597784914014,1.5321549467464333
2.5127933760000003,-4.975507181592048,19.977576910075282,1.532146168959991
2.5227933760000005,-4.975503170341348,19.97755603523655,1.5321373911735485
2.532013021,-4.975499159090648,19.977535160397817,1.5321286133871062
2.532017009,-4.975462077375573,19.977537236674337,1.5321061441930082
2.5320215260000003,-4.975407907554509,19.977621256526213,1.532088493538939
2.532030214,-4.975383776169561,19.97771786638953,1.5320872858446806
2.5320356520000002,-4.975392829816033,19.977646581969093,1.532024433246076
2.532062057,-4.975419576960653,19.977501934380385,1.5319561349208146
2.532067688,-4.97545460327975,19.97731268521022,1.5318950822514246
2.5320724180000003,-4.975468336986237,19.977236961259177,1.5318506040841429
2.5320769690000002,-4.97542654102929,19.977293130113026,1.531830031994221
2.532086554,-4.975380048000662,19.97739162892021,1.5318264435525135
2.532101897,-4.975341313171996,19.97742370390778,1.531794008277713
2.5321084050000002,-4.975344336618671,19.977378871241516,1.5317619390948114
2.5321217220000003,-4.975361448778448,19.97719910778042,1.5317098281614816
2.5321269190000004,-4.975390031433996,19.977033498544152,1.531656664878328
2.5327933760000003,-4.9754022924493295,19.977008732511003,1.5316359656499752
2.535479868,-4.975414553464663,19.976983966477857,1.5316152664216225
2.535493277,-4.9754161833126345,19.97708085690172,1.531599518737747
2.538859275,-4.975384514298429,19.97715295518065,1.5315793916802662
2.5427933760000005,-4.975379110858441,19.977157637748988,1.531569459377962
2.5527933760000003,-4.975373707418453,19.977162320317323,1.5315595270756577
2.562793376,-4.975368303978465,19.977167002885658,1.5315495947733535
2.5727933760000004,-4.975362900538478,19.977171685453996,1.5315396624710493
2.582793376,-4.97535749709849,19.977176368022334,1.531529730168745
2.590192551,-4.975352093658502,19.97718105059067,1.5315197978664408
2.5902254960000004,-4.975365695975568,19.977081896662558,1.531511748838618
2.5902347750000003,-4.975385452820842,19.97690933227905,1.5314429118861548
2.590240241,-4.975379417479152,19.97680285272658,1.5313738084428423
2.5902470490000002,-4.975390405211786,19.97686466901065,1.5313324901187697
2.5902565820000003,-4.975340849716096,19.97690880222771,1.5313161599356135
2.5902657380000003,-4.975335157001217,19.976975224095096,1.531312144479568
2.590284881,-4.975342173124718,19.97690006681093,1.5312553313529509
2.59032798,-4.975415275371851,19.976764150983996,1.531219449903132
2.590334876,-4.975432510971005,19.976589700804706,1.5311720943007447
2.590346801,-4.975423353108292,19.976537047605625,1.5310939428546753
2.590353833,-4.975415761816338,19.976594905853105,1.5310785022396909
2.59035985,-4.9753588445145205,19.97668890724201,1.5310554140195645
2.590366096,-4.975362382823511,19.976740572559397,1.5310183261150692
2.5903759930000003,-4.975390017545041,19.976666028136687,1.5309987595344825
2.59040885,-4.97542090394135,19.976489875274417,1.5308637448575624
2.5927933760000004,-4.9754488588598385,19.97641453896894,1.5308596348524532
2.59595366,-4.975476813778327,19.976339202663464,1.530855524847344
2.602793376,-4.975478032486918,19.976322450227325,1.5308359277857482
2.6127933760000004,-4.975479251195509,19.976305697791187,1.530816330724152
2.617333736,-4.9754804699041,19.976288945355048,1.530796733662556
2.6173387690000003,-4.975475970761134,19.976363955047187,1.5308052218704578
2.6173490630000003,-4.975464401226041,19.976445869888703,1.5307575925569874
2.617351642,-4.975464635886801,19.9764917642219,1.5307223360307
2.6173542050000003,-4.975470296879126,19.976360071192147,1.5306768412727567
2.617368758,-4.975493729253886,19.97621302355268,1.5306532433187512
2.6205393480000003,-4.975539034321572,19.9761412733425,1.530611503343248
2.620543071,-4.975541106160909,19.976173600885744,1.5305892855645429
2.622793376,-4.975539636712166,19.976189635250886,1.5305846549310398
2.6327933760000004,-4.975538167263423,19.97620566961603,1.5305800242975365
2.642793376,-4.975536697814679,19.976221703981174,1.5305753936640332
2.6527933760000004,-4.975535228365936,19.976237738346317,1.53057076303053
2.662793376,-4.975533758917193,19.97625377271146,1.530566132397027
2.6697874390000003,-4.9755322894684495,19.9762698070766,1.5305615017635237
2.66982505,-4.975535477552001,19.97635136974852,1.5305482073023065
2.669846454,-4.975552005313817,19.97630324306676,1.5305163349226123
2.66986277,-4.975584081726249,19.97614000331633,1.5304816762758968
2.669886248,-4.975614939176824,19.975994091468923,1.5304345492856095
2.669928773,-4.975626798037264,19.975945106063996,1.5304165429406111
2.6699710760000004,-4.975616230252947,19.97596356362025,1.5303863849996924
2.6699923990000003,-4.975591912849866,19.976068135445075,1.5303527035839128
2.6700278340000003,-4.975590484123758,19.97612059031949,1.530331470554514
2.670038366,-4.975616127247664,19.97606347652033,1.5303102435230085
2.670054918,-4.975682320737317,19.97594082811772,1.5302787750518756
2.6700842490000003,-4.975713070635877,19.975829300473094,1.5302265448550652
2.6701069840000002,-4.975714786126302,19.97580611301949,1.5301982085087915
