time_s,tilt_angle_deg
2.5,1.1409226911494679
2.5100000000000002,1.1636065506298732
2.52,1.1885971196076284
2.5300000000000002,1.215517511395752
2.54,1.2439593304171386
2.5500000000000003,1.2735034130978315
2.56,1.303762068814724
2.57,1.3343924981974096
2.58,1.365068866265893
2.59,1.3954398029097805
2.6,1.4251012979554585
2.61,1.4536185492996725
2.62,1.4805856776970008
2.63,1.5056676388200563
2.64,1.5286148395224768
2.65,1.549271366556636
2.66,1.567569545507995
2.67,1.583507750608222
2.68,1.597129734567523
2.69,1.6085206460781898
2.7,1.6178147175977342
2.71,1.625196655308268
2.72,1.6308934141226745
2.73,1.6351658616611173
2.74,1.6383017623998593
2.75,1.6406049336337
2.7600000000000002,1.6423816772724138
2.77,1.6439313842273375
2.7800000000000002,1.64554221534567
2.79,1.6474873731372044
2.8000000000000003,1.6500200819784536
2.81,1.6533665012690641
2.82,1.657718314958728
2.83,1.6632327535836156
2.84,1.6700399189835338
2.85,1.6782475105143435
2.86,1.6879454162487364
2.87,1.6992159098368405
2.88,1.7121391996308022
2.89,1.7267857269594318
2.9,1.7432021263282647
2.91,1.7613997636652097
2.92,1.7813416166389706
2.93,1.8029200905970613
2.94,1.8259314436823697
2.95,1.8500532574411865
2.96,1.8748225724106438
2.97,1.8996129084396183
2.98,1.9236135989820153
2.99,1.9458200980000349
3.0,1.9650389941639037
3.0100000000000002,1.9798974156649984
3.02,1.9888488070236676
3.0300000000000002,1.9901825444361598
3.04,1.9820497769352792
3.0500000000000003,1.962515432395078
3.06,1.9296533533093163
3.0700000000000003,1.881718630536943
3.08,1.8174404934278436
3.09,1.7364923517034592
3.1,1.6402523217322835
3.11,1.5330588449037734
3.12,1.4242173046826414
3.13,1.3307276949622933
3.14,1.2792264988418478
3.15,1.3023966612540754
3.16,1.4258015182688195
3.17,1.655237340298154
3.18,1.979912155290354
3.19,2.384384259898684
3.2,2.85548397126033
3.21,3.3831858195908437
3.22,3.9593920806070635
3.23,4.577134838482141
3.24,5.230549970447506
3.25,5.914747330368293
3.2600000000000002,6.6253560940975795
3.27,7.358330073913083
3.2800000000000002,8.109969287809152
3.29,8.876558350049727
3.3000000000000003,9.653537196311065
3.31,10.434849615858724
3.3200000000000003,11.213319205275836
3.33,11.981910403640743
3.34,12.734731907039064
3.35,13.467437081169152
3.36,14.177457617377986
3.37,14.863999771318069
3.38,15.527595883017169
3.39,16.16939920332547
3.4,16.790431639796562
3.41,17.391023818371092
3.42,17.97083703572621
3.43,18.52938745859028
3.44,19.066565132514945
3.45,19.582966886937978
3.46,20.079986781961246
3.47,20.559537146275233
3.48,21.023523232031245
3.49,21.47327974953233
3.5,21.909251746409687
3.5100000000000002,22.33137289651812
3.52,22.739959476821348
3.5300000000000002,23.1362230179906
3.54,23.52209602245947
3.5500000000000003,23.899825288172487
3.56,24.27172539977246
3.5700000000000003,24.64017504582286
3.58,25.007642047262586
3.59,25.376487675411216
3.6,25.748573475116707
3.61,26.124838924561455
3.62,26.504960679647102
3.63,26.887235740411313
3.64,27.268913997215066
3.65,27.646889723304998
3.66,28.018327953051667
3.67,28.381025946435567
3.68,28.73354338210273
3.69,29.075168205662898
3.7,29.405862488147132
3.71,29.72625303071596
3.72,30.03756631687121
3.73,30.341434231944188
3.74,30.63959943522984
3.75,30.933571012740686
3.7600000000000002,31.224380620329924
3.77,31.51268099087936
3.7800000000000002,31.79907317256494
3.79,32.084210600570046
3.8000000000000003,32.368567499369085
3.81,32.65212641827601
3.8200000000000003,32.93416156339691
3.83,33.21320824040914
3.84,33.487341979390884
3.85,33.754661223427476
3.86,34.01360451127068
3.87,34.26300110232741
3.88,34.50204818459216
3.89,34.730318052902
3.9,34.94780603631541
3.91,35.15500986074422
3.92,35.352975067334796
3.93,35.543226073795935
3.94,35.72759096710241
3.95,35.90799310277107
3.96,36.08624419293644
3.97,36.263945221836885
3.98,36.44270874373678
3.99,36.62459464285774
4.0,36.81232644552505
4.01,37.00917533106863
4.0200000000000005,37.218724049619006
4.03,37.444617416669125
4.04,37.69029627674747
4.05,37.958710347900684
4.0600000000000005,38.25200563339128
4.07,38.57118276573449
4.08,38.915723774231
4.09,39.283186379743796
4.1,39.668786462901494
4.11,40.06542034828532
4.12,40.46495501798724
4.13,40.86035385125935
4.14,41.24696797148458
4.15,41.62253882416179
4.16,41.98673209242081
4.17,42.34066083852359
4.18,42.68642166275502
4.19,43.026643006378194
4.2,43.36404337840742
4.21,43.70099653477319
4.22,44.039100487938455
4.23,44.37874766819156
4.24,44.71869929624631
4.25,45.05567941857436
4.26,45.38434613064499
4.2700000000000005,45.69831520159038
4.28,45.9918644499684
4.29,46.26093652663064
4.3,46.50311728206526
4.3100000000000005,46.7173396633609
4.32,46.90374157169463
4.33,47.06363390038557
4.34,47.19942012331944
4.3500000000000005,47.31442972389401
4.36,47.41274268192993
4.37,47.4990401723971
4.38,47.57847633659443
4.39,47.656565210882825
4.4,47.73907629374215
4.41,47.83193177241068
4.42,47.941098098772024
4.43,48.072464394351826
4.44,48.23170008219543
4.45,48.42408420848648
4.46,48.65429916372567
4.47,48.92618199341156
4.48,49.24242726948099
4.49,49.60423665841514
4.5,50.01091195883258
4.51,50.45939093660354
4.5200000000000005,50.94372922378373
4.53,51.45453478797951
4.54,51.97897630363358
4.55,52.50260628015057
4.5600000000000005,53.01241487441643
4.57,53.4986900752726
4.58,53.95506257009282
4.59,54.377933510019794
4.6000000000000005,54.76590455361367
4.61,55.1192385484903
4.62,55.43936342619377
4.63,55.728419612057245
4.64,55.98884947390044
4.65,56.2230296146723
4.66,56.43302472984729
4.67,56.62062880939113
4.68,56.78769058470225
4.69,56.93647316747486
4.7,57.06982367813911
4.71,57.19114670744378
4.72,57.304350445579566
4.73,57.41382897326173
4.74,57.52437828345987
4.75,57.641042842877894
4.76,57.768964504860115
4.7700000000000005,57.91323576170743
4.78,58.07873820580706
4.79,58.26995972419605
4.8,58.49078414908885
4.8100000000000005,58.74424753044348
4.82,59.032255945694324
4.83,59.35526088675794
4.84,59.71188984007293
4.8500000000000005,60.09854150846581
4.86,60.50897644812663
4.87,60.93430130718246
4.88,61.36413746365511
4.89,61.788665741898434
4.9,62.1999504914427
4.91,62.59197977406904
4.92,62.96030115929351
4.93,63.30194919732248
4.94,63.61559863627121
4.95,63.90156267289233
4.96,64.16152730673434
4.97,64.39819801378076
4.98,64.61496722320666
4.99,64.81561048930514
5.0,65.0040075455584
5.01,65.18388386331294
5.0200000000000005,65.35856816317175
5.03,65.53076150889824
5.04,65.70231411691573
5.05,65.87400680519048
5.0600000000000005,66.04533936067195
5.07,66.21448852774931
5.08,66.37877534729918
5.09,66.53552243656425
5.1000000000000005,66.68264345340003
5.11,66.81874320389423
5.12,66.94302396149052
5.13,67.0551943269344
5.14,67.15545267709408
5.15,67.24450529935349
5.16,67.32350926717919
5.17,67.39395627191416
5.18,67.45756429550164
5.19,67.51618609977916
5.2,67.57172656679161
