angle_of_attack_deg,CL,CD,CL_CD,velocity_mps
43.02584876777889,0.8623018945780252,1.4477919070975147,0.5955979518535532,5.047348084912887
42.739937584870965,0.8553601898917399,1.4267237626046616,0.5995275415680846,5.112912764616677
42.477425064969104,0.8440206485732366,1.3984621147093286,0.6035348685495591,5.179034840353984
42.240501710332005,0.8284433831035193,1.3642665619842216,0.6072445123173028,5.245525857939136
42.03013972975355,0.8093367646488533,1.3260452862709862,0.6103387063983345,5.312208282623917
41.846289166886834,0.7877325568352221,1.285927303248092,0.6125793851992218,5.37895329250042
41.68793051042732,0.7646622254711886,1.2457179577009445,0.6138325459173839,5.445711511174194
41.55308401095165,0.740953894953438,1.2066314045295272,0.614068133956555,5.512517037108774
41.43883818208577,0.7172269842461974,1.169378361159784,0.6133403935525551,5.5794369382454025
41.34144056860415,0.6939588138618962,1.1343568836742866,0.6117640963340283,5.646486273153241
41.25645911585023,0.6715397328011319,1.1018024150934649,0.6094919775099207,5.713574825410869
41.178945962976236,0.6503028411671857,1.0718767301149534,0.6066955489339126,5.780544594131086
41.103562906615224,0.6305336625953502,1.044706880330962,0.6035507896674273,5.847291689357621
41.024689150888335,0.6124835186656854,1.0204172726712777,0.6002284899212929,5.913867204907046
40.93652865794282,0.5963991423797478,0.9991795417366633,0.5968888647805537,5.980470026564985
40.83322616446221,0.5825529611448275,0.9812573635769132,0.5936800912460841,6.047370198217708
40.70901306172364,0.5712565321987335,0.967018933768321,0.5907397593261651,6.114833399472787
40.558381300994235,0.5628538800478159,0.956912156541716,0.5881980662481953,6.183062931424681
40.37626598244293,0.5576927407756541,0.9514000140952467,0.5861811357081146,6.252169135858167
40.158248286768305,0.5560697537484196,0.9508533121275554,0.5848112917686707,6.322178816484484
39.900744342582016,0.5581528855085239,0.9554113549299845,0.5842016453204525,6.393052110489418
39.60113365706862,0.5638802653317244,0.964817016412958,0.5844427033714232,6.464688631792594
39.25795187794593,0.5728249383665738,0.9782242785258921,0.5855762844377476,6.5369481899744155
38.87132616562203,0.5840232902215922,0.993990541577352,0.5875541725922511,6.609678810140258
38.44360761828826,0.5958884669244587,1.009682302921509,0.5901742213364236,6.682697742892468
37.980022810735974,0.6064863442977276,1.0227225964422983,0.5930115814463207,6.755681613295565
37.48930678798328,0.6141568353553695,1.031448646556431,0.5954313260337127,6.828076974253561
36.98374615178651,0.6180002944806918,1.035571590314006,0.5967721597042895,6.899222857731274
36.47736338885959,0.6179943137141213,1.0356893332515464,0.5966985406457084,6.968594664103074
35.98282027085519,0.614904302067158,1.0326315457997894,0.5954730945105007,7.035887430177926
35.50953077362325,0.6100001343614221,1.027261988703659,0.593811647923049,7.100911830153777
35.06362303643889,0.6046222149873166,1.0205157048299598,0.592467330120576,7.163527819507537
34.648526395977875,0.5998877525263907,1.0133399223979176,0.5919906432840956,7.223716245783072
34.265548309362785,0.5966335947850449,1.0065787774768318,0.5927341288478384,7.281667142216069
33.91439489279322,0.5954383687680951,1.000891251563112,0.5949081559436072,7.337792985280647
33.59363382513122,0.5966308175444925,0.9966962493518954,0.5986084706668203,7.3926753016713285
33.3011402339846,0.6002764883852051,0.99413047340294,0.6038206296300684,7.446959264745488
33.034524858285906,0.6061389059290215,0.9930070180614404,0.6104074743718553,7.501221497898245
