x,z
0.0033152497084447,1.5570594744401336
0.0033825711414541,1.5571586173870795
0.0034719415385752,1.5572999509084724
0.0035484284177764,1.557403393005998
0.0037449548526406,1.5575025232536188
0.0039281655145237,1.5576575731533504
0.0041718308237556,1.557772255222988
0.0044842326545469,1.5579146486855675
0.0048892916076909,1.558027126270836
0.0052940764651222,1.5581774791367269
0.00582763064174,1.5582670547404465
0.0064529855322949,1.5583431787652038
0.0071400411933516,1.5584701467074225
0.0079793969616815,1.5585745066028858
0.0089011489251965,1.5586462567396366
0.009935236407713,1.5587273081067423
0.0110748051510933,1.558605923525665
0.0123663927822517,1.5586222376920722
0.0137580016243865,1.558657951331319
0.0152261680616396,1.5586685875757924
0.016845553790834,1.558668590832745
0.018776794007992,1.5586670729892689
0.0207552774578569,1.5586774145729576
0.0226703732334232,1.5587054911044635
0.0249802034990098,1.5587498901912358
0.0273983881342783,1.5588015190700426
0.0300469716622182,1.5588563648881353
0.0327764378756341,1.5589058993031917
0.035737233508446,1.559001924076421
0.0388668782211216,1.5591287160601113
0.0422039897608892,1.5592418240209345
0.0457135497611025,1.5593710716194151
0.0495031506872865,1.5594983149613786
0.0534769043888406,1.559576311385767
0.0576489210346287,1.5596348335869947
0.062019827919118,1.5599704729312456
0.0667497721624516,1.5599286693014622
0.0717281121721555,1.5599962796382076
0.076843050493743,1.5601251078048812
0.0822122118688691,1.5604059608542136
0.0877460696218521,1.5605898167430234
0.0936475084258834,1.5607112806746868
0.0995031189649223,1.5610586698206166
0.1061108891909248,1.5613794052092442
0.1129116353890015,1.5614195933594492
0.1199906847355893,1.5612356050735998
0.1272731588693496,1.5601050086255668
0.1348015987383054,1.560189761759517
0.1426756872356564,1.5601149832042844
0.1507728204463239,1.5603697543835513
0.1592063123711595,1.560447923084458
0.1680823268416626,1.56045538301355
0.1771495938903101,1.560535487790346
0.1866460778555531,1.560469656094056
0.1963700267794331,1.5604255552030104
0.206422701936023,1.5602939686650747
0.2167644208327902,1.560291228094343
0.227490429771298,1.5601052098998924
0.2386811730533811,1.5599808871511591
0.2498419847144526,1.5598086206177384
0.2612742301499072,1.55967564136525
0.2732002676853158,1.5596127848144512
0.2855443585307896,1.5595020424896615
0.297472974198666,1.559873184143518
0.3108650751631294,1.5589904091391915
0.3240224190236004,1.5588503025374716
0.3375341091727928,1.559046423982528
0.3514717150394401,1.5587634218935131
0.3656874863750954,1.5584226417252391
0.380131908741145,1.5583552699853842
0.3950357575741779,1.55810290246132
0.4101672419097339,1.5578548072676683
0.4256156992678909,1.5576124412332613
0.4413466860165217,1.5572609541637807
0.4574652264458849,1.557169107127247
0.4739146061645168,1.5568669743740415
0.4907111315220528,1.556758832662023
0.5077126600556452,1.5564106130434554
0.5247832340075025,1.5569032660291084
0.5423356804583778,1.5566144281538388
0.5602591962162313,1.5564421033531106
0.5789305986034095,1.556831132148743
0.5972425480846267,1.5564798367038004
0.6152311321642714,1.555412257157193
0.6343142623205126,1.5543596826870236
0.6535832393615497,1.5542759647199325
0.6736485361018236,1.554944709085167
0.6930079792610931,1.5547806250902756
0.712783413753388,1.554571869291435
0.732727796543257,1.5544390877103642
0.7528408588432803,1.5543210566853594
0.7732103200817317,1.5542257381428393
0.7936380815116809,1.554169768342583
0.8143097734183339,1.5540948381527528
0.8350468023951241,1.5541659745806842
0.8559983375744415,1.5541530903124228
0.8767919797182274,1.5541050440430502
0.8974806317909567,1.5535010599853296
0.9188021631120726,1.5535851767229154
0.940327826217642,1.5538794616712532
0.9617668605360072,1.5540325907898451
0.9835273039654454,1.5546325296497108
1.0051067738733648,1.554727241407309
1.026579436470746,1.555343021386666
1.048225315127899,1.555474943224295
1.0697951328244888,1.5555056406469792
1.0915455788410315,1.5559178265114797
1.1133762577970174,1.5557151540828635
1.1350434488086876,1.5560595854406174
1.156653976293965,1.5561608309096815
1.1782287935465174,1.5564852661210271
1.1997898296884817,1.556779164823143
1.2211756989864502,1.5567731026216565
1.2426832851508252,1.5574413503751077
1.2638940686992206,1.557432994256715
1.2851083837284445,1.557773812565506
1.306235099101501,1.5578544793242155
1.3271175099913275,1.5581900113846356
1.3478544713991254,1.5582550297703193
1.3684579173254037,1.558412121794805
