x,y
-0.0017437747147163,2.596404991348138
-0.0016640896049355,2.596335448656256
-0.0016151253214491,2.596214852248309
-0.0016141236656774,2.596152541610934
-0.0015341621326756,2.5960521129077345
-0.0014828165680659,2.5959644946542952
-0.001416250035918,2.595896693809679
-0.0014143776711335,2.595833026653311
-0.0010349900017431,2.5962007990158584
-0.0009932983849365,2.59612204596204
-0.0009932882794237,2.5960281451379554
-0.000965168713342,2.595933118147121
-0.0009258421408721,2.5958369408117914
-0.0008847756077281,2.595738989020656
-0.0009634843438071,2.5956537243022053
-0.0009953749437169,2.5955276743400373
-0.0010296868905732,2.595417816673919
-0.0011070296547183,2.5953144148827594
-0.0011763545854806,2.595157441203637
-0.001249353366253,2.595041030379981
-0.0012660093758128,2.594909478029155
-0.0013704450310156,2.59476490667446
-0.0014519753500399,2.594642831733299
-0.0015467113077562,2.594514936556846
-0.0016234086249734,2.594363857951754
-0.0018507134886195,2.593943513881709
-0.0019568647325047,2.5938225281041047
-0.0020702121241616,2.5936590245568243
-0.0022384131077492,2.593562710311195
-0.0023860444285136,2.593431446402896
-0.0025152686935637,2.5933095690753047
-0.0026616135255925,2.5932251279306104
-0.0028737049649499,2.593147261287197
-0.0030225167397155,2.593072031682297
-0.0031636058747197,2.593021120080396
-0.0032968881511303,2.5929531606056275
-0.0034910677778798,2.5929305633327138
-0.0036460768097381,2.592874254341598
-0.003793976056572,2.592853893751286
-0.0039988977691985,2.592867268901567
-0.0042028743210243,2.592841230940273
-0.0043381651220251,2.592855121114476
-0.0044546550714889,2.592869340169913
-0.0046393388903219,2.592885024773021
-0.0047779052882493,2.592955464412115
-0.0049079450245352,2.593017154402617
-0.0050308841592474,2.593067408263229
-0.0051988181491686,2.593155649501385
-0.0053623126213952,2.593248464008483
-0.0054280712447405,2.593324480363993
-0.0055145655156557,2.593443219143021
-0.0056155024629912,2.593539228289844
-0.0056821827400706,2.5936731577104624
-0.0057051062723371,2.5937855367000884
-0.0058194239894126,2.593930899313005
-0.0058798448434805,2.5940911900608383
-0.0059063847039427,2.594218157529472
-0.0059168457005018,2.5943829480747365
-0.0059145391336729,2.5945549568344446
-0.0059052980393045,2.59469733232566
-0.0058536211556376,2.594892871251077
-0.0058200420216466,2.5950942674680637
-0.0057993331756416,2.595244869542237
-0.0057432227978292,2.5954512230176534
-0.0056557829490642,2.595647449593099
-0.0055697977844052,2.595808045015005
-0.0054525893768568,2.595999825932725
-0.0053555744146693,2.5961638257899864
-0.0052191296638809,2.596349556914004
-0.0050695744110915,2.5965263802714267
-0.0049364430775133,2.596701516197092
-0.0047552164036168,2.5968498937673155
-0.0045691963209311,2.597009635992721
-0.0043806575790162,2.597130106936151
-0.0041994611895287,2.597257435068999
-0.0039130265218328,2.5973433975361613
-0.0036524374546024,2.597474218964137
-0.0033483363425496,2.5975764678277558
-0.0029616202272708,2.597631265187174
-0.0025702600461098,2.5977333966709053
-0.0021124785416695,2.597800413827524
-0.0016318595559964,2.5978174727194303
-0.0010302564484032,2.5978946474544684
-0.0004169558253798,2.597926048243807
0.0003127097143265,2.597899016026125
0.0011367025421969,2.5979581423559512
0.0021276443440937,2.597939451153342
0.0032284786784258,2.5979203621883915
0.0044761049705664,2.5979181148556187
0.0058120360572659,2.59789762980191
0.0074117687177882,2.5978197104990737
0.0091612687339772,2.5977141592657054
0.0111767255845894,2.5976147303473
0.0134247022852597,2.597549755029526
0.0159152071048591,2.597382569587029
0.0186805319053296,2.597168599522864
0.021677892755099,2.597049669871074
0.0255204799004862,2.5967774943474047
0.0292545720861896,2.5967600430794158
0.0330421775234113,2.597374886253531
0.0369625449833825,2.596965622628543
0.0421879384974447,2.596624797421507
0.0476382639461322,2.596066947488205
0.0532175988701266,2.596049727434584
0.0598036399090202,2.595617449698726
0.0666333242187778,2.595124907023309
0.0740460094393293,2.5945093029886297
0.081923843960192,2.5938027582725844
0.0905957268959204,2.593066241132357
0.0999293122697553,2.5923281884179654
0.1100508145166533,2.5914962343878334
0.1209254044958994,2.590600668498135
0.1324631466755297,2.589644967465121
0.1448017236134657,2.588609523747488
0.1580050075952887,2.5874724529919777
0.1719780203537232,2.586218796251597
0.1868495733321552,2.5848702223964337
0.202651596058658,2.5833893256090885
0.2193446621171032,2.5817582506308288
0.2370081431620906,2.579966357224474
0.2555066722656685,2.5780163325682226
0.2750489059961776,2.575834823661845
0.2951548380511593,2.573327182045215
0.3166487319117962,2.570713125917053
0.3391295914525815,2.567694864266408
0.3625889704666368,2.564464049334516
0.3870995433689417,2.5608238926111206
0.4124979442705648,2.5567653344070407
0.4389369094875494,2.552303867231052
0.4663662616157928,2.547375568568955
0.4948235814662453,2.541865181949668
0.5242539891082294,2.535838191050595
0.5545834394217544,2.5291304318944414
0.5858843609430829,2.5217863955759694
0.6180749942626231,2.5136781225757847
0.6512443576359581,2.5048188826552384
0.6851172828211753,2.4951519147357284
0.7199655746652168,2.484562481528533
0.7553312428558154,2.472992393864691
0.7917089060626471,2.4605050730571123
0.8286491660868139,2.4469314474309063
0.8662356332329925,2.432275001926892
0.9043787666107672,2.41641173798808
0.9429943220483642,2.4001141979714893
0.9821620252262304,2.381915105393275
1.0210875133982622,2.363328599020025
1.0608995588265155,2.3425192110890287
1.1010872547657686,2.3203268319088366
1.141358564529531,2.296703548950769
1.1817723598093512,2.2715793752995386
1.2221643088715706,2.244956083591662
1.2625669757107965,2.2178429671067987
1.303078518445599,2.1884658460791586
1.3437096133462445,2.157744911866926
1.3842676484303758,2.125192459409946
1.424157234056446,2.090986820387671
1.462945820153975,2.052787999379855
1.5016300726193503,2.015654628983202
1.539519758861303,1.9771590896738185
1.5767545257117497,1.9372060162739717
1.6133432318613692,1.8957817263598784
1.649089830780586,1.8528637465325264
1.6838756206728662,1.8086215143937745
1.717634691452523,1.762716950923727
1.75071219402207,1.716037741606575
1.7822378597458006,1.6689535743013766
1.8131652058923824,1.6189268060556583
1.8423648069586,1.567868300659847
1.8707735392319769,1.51562278917496
1.897298212646747,1.4622869477068758
1.922672448401705,1.407714313558257
1.9466532293313383,1.352004363130617
1.9689418948568156,1.2949369947005136
1.9894493882033704,1.237293070287433
2.008478202240733,1.1782868429122793
2.0260093161813835,1.118564887528818
2.041793544187951,1.0579412376912207
2.0557113363165604,0.9962865938674432
2.067552916972656,0.9340023014632214
2.0785274156571547,0.8711435117102329
2.0874054019858392,0.8074084083370183
2.0953245421565603,0.7429219277509428
2.0999547664119653,0.6782874702064488
2.1026834061943416,0.6133845890088421
2.1033629339130617,0.5477232079994867
2.1006759252484586,0.4824184275724928
2.097311608167139,0.4164977405600162
2.091931962223025,0.3503367114314185
2.0857773286881867,0.2835176059999078
2.0766755852766354,0.2173182462933546
2.0649115251042227,0.1512987805614704
2.0512978212980326,0.0854331767702725
2.034753173368691,0.0195561775960499
2.0164264835524057,-0.0460254091067834
1.9965814676990428,-0.1111299382113823
1.9748857835276643,-0.17592868752419
1.9511141599003603,-0.24011940236463
