Metric,Wing_1_Mean,Wing_1_Std,Wing_1_Min,Wing_1_Max,Wing_2_Mean,Wing_2_Std,Wing_2_Min,Wing_2_Max,Difference_Mean,Difference_Percent
Motor Speed (RPM),1205.1347982120365,77.36613066674289,727.411304473877,1367.695556640625,1196.108766205037,156.14528993440604,748.6956481933594,1345.2593078613281,-9.026032006999458,-0.7489645158691518
Alpha (degrees),70.44954099131682,24.23392703084201,35.870814008574094,102.76105181110084,59.23101807216125,29.947842201737043,14.95501686972652,102.08203755748954,-11.218522919155575,-15.924195901486854
Velocity (m/s),-2.161723297999831,3.2280262956999484,-9.140609244725612,0.0,-2.224748006301996,3.249395615395669,-9.140609364999651,0.0,-0.06302470830216533,2.915484528500014
