time_w1,velocity_w1,time_w2,velocity_w2
0.131646541,0.0,0.364177348,0.0
0.194201898,0.0,0.433828381,0.0
0.255564783,0.0,0.62664858,-0.0007838210866452
0.321563757,0.0,0.626833184,-0.0161220452020549
0.403025404,0.0,0.629309588,-0.0504558476654581
0.458860126,0.0,0.761285247,-0.1027909327380363
0.5311053130000001,0.0,0.7820544380000001,-0.1721913411244404
0.6018878010000001,-0.0019063969759873,0.909667291,-0.2576945302441203
0.657191877,-0.0202826364031306,0.909879852,-0.3583439873367089
0.722320245,-0.0575283726560176,1.009814616,-0.4733395996520501
0.7926372070000001,-0.1126353530803507,1.137359885,-0.6015663541195946
0.856790465,-0.1846190820059578,1.137479974,-0.7422601321708365
0.94302573,-0.2725688181804222,1.159522333,-0.8953637788164285
1.002388121,-0.3755494783856166,1.377003141,-1.0583825668607765
1.058679616,-0.4927294879523546,1.377155831,-1.230758143398355
1.127294917,-0.622917372745333,1.377323846,-1.4129212479925275
1.190192158,-0.7655584730072165,1.429585168,-1.603406733074287
1.265767105,-0.9196678611126148,1.5724349860000002,-1.8017093708391088
1.326470074,-1.084412672064823,1.5725405490000002,-2.006210997791195
1.3897798890000002,-1.258923846574799,1.622985777,-2.217064573471782
1.455643285,-1.44246121707581,1.775119029,-2.433135658754569
1.522774995,-1.634474091314341,1.775269736,-2.653846836805599
1.590791368,-1.8332942709889288,1.830852869,-2.878482206415474
1.659893532,-2.039081695733701,1.981090155,-3.106220194196593
1.723897096,-2.250762030647328,1.981784461,-3.336604152319757
1.7916777540000002,-2.4676576870260343,2.031035637,-3.568795764248925
1.853978406,-2.6890284903733463,2.193499444,-3.8022672082322457
1.933666826,-2.914143946904206,2.193731807,-4.036508299019048
1.987781391,-3.142383993225636,2.23309892,-4.27082265756436
2.064625597,-3.373073519873338,2.336849456,-4.504425495043105
2.122794665,-3.605604127878176,2.355580992,-4.737088048913812
2.192889002,-3.83922579702457,2.429120025,-4.968192877158039
2.252366827,-4.073465393670502,2.518589866,-5.197072328819297
2.319138135,-4.307682144680207,2.667531974,-5.423380094680727
2.388426298,-4.54125841337967,2.667953272,-5.646433214736975
2.466603572,-4.773694936471339,2.814872291,-5.865867069992151
2.522468009,-5.004466065966374,2.815310836,-6.081341389007223
2.594086777,-5.232953258308609,2.830065514,-6.292126541437529
2.6537630720000003,-5.458725446744435,3.01131072,-6.498007933043207
2.735139273,-5.681642192935069,3.01143125,-6.698562870824055
2.808957764,-5.900151762803906,3.031813749,-6.893313992090192
2.858966349,-6.114831779121543,3.096695722,-7.081964446743911
2.934729947,-6.324934167877271,3.158781113,-7.264165140126765
3.013129698,-6.530021649592687,3.238721796,-7.43941014125629
3.05942415,-6.72966895996992,3.290927232,-7.607600301706437
3.12339374,-6.923494543108725,3.370992119,-7.769706104090488
3.190525951,-7.111140798894908,3.424941693,-7.921233886222661
3.255034986,-7.292234113163305,3.488251654,-8.066114110465104
