time_w1,alpha_w1,time_w2,alpha_w2
0.001671614,91.48046708226587,0.000669632,89.05247623302967
0.005779819,91.45674041939483,0.000744462,89.01868296932368
0.005790938,91.43948006126392,0.006066794,88.98633952985325
0.017117668,91.44304526376956,0.006159775,88.95004954235537
0.021944546,91.43087323106354,0.014947492,88.95599376893634
0.021951946,91.43549101367395,0.014953596,88.92954162372754
0.022005638,91.4354519747755,0.014956471,88.90116823079724
0.027659708,91.44750881206927,0.020974413,88.87634445877782
0.02768878,91.42073613412666,0.046545944,88.83622328151579
0.027711528,91.41019405763838,0.046550732,88.80653310290539
0.034574481,91.40107477136034,0.046560721,88.79881475693541
0.041504791,91.39527640134445,0.046565447,88.76508011513938
0.041548562,91.37847918338974,0.046569583,88.72435773908411
0.053002406,91.38210480792723,0.046573965,88.69807430950458
0.053019407,91.3783546178752,0.046579797,88.69035114430967
0.053039218,91.37513079771678,0.04661013,88.64314669418408
0.063381819,91.35968027679044,0.050733567,88.59231290767126
0.063390791,91.3516174779808,0.05073684,88.55854182481443
0.063402091,91.3519643048108,0.058020886,88.52545215053787
0.06345624,91.3453129416664,0.0580269,88.47793850877771
0.066823903,91.33405515414552,0.063251677,88.43689801469388
0.071743421,91.32247218416646,0.069942112,88.38450093919793
0.077144371,91.31271286165524,0.070022773,88.34825526109897
0.077202391,91.29984530146216,0.074797952,88.31058319814507
0.081482968,91.28835747030372,0.074839574,88.28260740391708
0.08149288,91.2934724180468,0.086058666,88.23452884598815
0.088426122,91.30201704492347,0.086063225,88.20102926880135
0.093251174,91.28319482927104,0.086073818,88.15053671219216
0.093265672,91.28895317747164,0.086090203,88.10435955268738
0.100261397,91.27495271574443,0.090919929,88.06587802094121
0.104113351,91.27064968903328,0.10630369,88.02722453366515
0.104153867,91.2675829987078,0.106313783,87.98688141539178
0.110200292,91.27832584429272,0.112404629,87.9575572572966
0.110386302,91.27018180354352,0.112420225,87.90964037095263
0.114447124,91.26688248824796,0.112433342,87.85826261505008
0.114470339,91.26108993481245,0.112441045,87.82301096077134
0.121153701,91.25495262808096,0.120983203,87.79014778264161
0.132943524,91.26096225310454,0.121009499,87.74784917753135
0.132961481,91.25698684800624,0.124828896,87.71581682377109
0.133049991,91.26320288724304,0.124841261,87.6686206889326
0.133079282,91.25892846861164,0.134302524,87.64032764130289
0.138250549,91.24582932163187,0.1343106,87.6009784285409
0.14360818,91.23731983951367,0.134318388,87.55699046002138
0.143643684,91.23343760432049,0.13844083,87.50903525573182
0.193762703,91.22714095885786,0.14503017,87.47384192233127
0.193778569,91.23106374014188,0.145035822,87.43839940447435
0.193799169,91.23323792396644,0.14920576,87.3913742550146
0.193816721,91.22467475280872,0.149229048,87.36287962771827
0.193835268,91.22192218152162,0.155524671,87.31982261501004
0.193887462,91.21434056526957,0.160919328,87.28598549507834
0.193907068,91.20638915450414,0.160953019,87.2635826148027
0.193918832,91.20608864232328,0.167369031,87.22998417679048
0.193939051,91.19676658180606,0.167372653,87.18145808394712
0.19395622,91.19937015941014,0.17172288,87.13778445970406
0.193972598,91.19287960926005,0.179030769,87.10429989108692
0.193989146,91.19643777226167,0.18601763,87.06749798389914
0.194127994,91.1917644215778,0.18602975,87.02810610312359
0.194137797,91.1991416445053,0.186083612,87.01629890163913
0.237991537,91.20048923482052,0.215208798,86.97066817294231
0.23799501,91.1901966242142,0.215225663,86.87651895881305
0.238025844,91.18160228120917,0.21523987,86.8535808534332
0.238030899,91.18073067516238,0.215253898,86.82557984108564
0.238051777,91.17043556991578,0.215272011,86.79677442862632
0.238062171,91.17489278297938,0.26627133,86.78031978345871
0.238069126,91.16894974890012,0.266298668,86.75587247262541
0.238073146,91.18161717874402,0.266309884,86.72404920364744
0.238078091,91.18314466605143,0.266320569,86.70426646640499
0.238081544,91.188735178202,0.266348313,86.6795377225969
0.238093337,91.17876693240378,0.266357764,86.6593948672552
0.238097146,91.17661344807534,0.266369359,86.63879358274035
0.238105878,91.17757896715833,0.266505073,86.62802355569333
0.238110651,91.17496686053536,0.266529122,86.5887658237443
0.245388845,91.16756496794991,0.2665549,86.59019948093253
0.245394529,91.16602924562274,0.266611495,86.57941138213572
0.245399956,91.16620359634028,0.273682045,86.55245496586983
0.249678914,91.16532092532798,0.273696896,86.5343107080697
0.252299447,91.15790294227727,0.273722221,86.52960521111848
0.255765433,91.16116677720106,0.273735441,86.50512613860919
0.262292257,91.1629887338258,0.273752003,86.5020182796781
0.262305652,91.15239024544886,0.273806132,86.4993787642582
0.26648829,91.15717205445382,0.273851015,86.47771945417308
0.270708355,91.12540726060014,0.273868988,86.47978991045088
0.270713319,91.1164970263128,0.273907249,86.47070552122041
0.275996709,91.1250885367214,0.273921841,86.4556884128302
0.280957507,91.12844531016108,0.273944257,86.45876502585159
0.280961629,91.10786440855418,0.2842034,86.45624779401662
0.283380368,91.0958382810055,0.284210963,86.45901414425477
0.286754504,91.0936192933528,0.284265162,86.45835896920954
0.289610382,91.09382544480984,0.287853406,86.45404257379636
0.296577813,91.08450301414057,0.292240242,86.46601094151805
0.300359983,91.08492227255232,0.298276396,86.47916861518223
0.30036725,91.07466082746087,0.30191095,86.4812612136535
0.305811021,91.06976541674965,0.301924618,86.48781278422456
0.309190431,91.07101228389642,0.307120412,86.4888917516215
0.31192395,91.0659190594992,0.311890337,86.51984911699535
0.317785581,91.06708276616035,0.311917401,86.53539016528241
0.321637588,91.0673553764588,0.31945379,86.54396620114447
0.321648361,91.06858180348972,0.319475769,86.55741314819696
0.325057224,91.0713052993834,0.324536101,86.58055582754733
0.331794747,91.06986333369434,0.32832062,86.59503235118035
0.337493884,91.06347656534426,0.328323634,86.59878065139046
0.337514295,91.05948540754812,0.336363048,86.62405142695124
0.337872959,91.05184790506836,0.342803142,86.64611523255316
0.341320388,91.05167389005231,0.342811783,86.660682425814
0.347030434,91.05806712470692,0.342817688,86.68771438995364
0.350538677,91.04952075505906,0.342822958,86.70391884543234
0.350588963,91.073624948833,0.347364917,86.71403155497849
0.353322886,91.06000228580896,0.350909873,86.73493694962227
0.362009366,91.07785195824648,0.360501861,86.7449186542509
0.369169169,91.08323267342917,0.364492338,86.76221316304434
0.369208373,91.07228310746376,0.364504429,86.78234479624254
0.378311927,91.06878680925884,0.364515295,86.80278051825259
0.378326876,91.07666598891213,0.368686338,86.8258441470126
0.378340218,91.0710661909043,0.375477635,86.83611289757002
0.378394079,91.0713622076712,0.375493538,86.86859753705022
0.401335638,91.07672173944736,0.384283357,86.86460298943548
0.401370829,91.0872943821565,0.393811057,86.88608985732056
0.406936423,91.08841731660593,0.393878246,86.9061159042317
0.407149279,91.09203106072852,0.393895353,86.91300027034147
0.407218309,91.09772144023091,0.395026646,86.93136631564357
0.407235726,91.08716371972872,0.402248933,86.9488839064361
0.407247896,91.09048912658758,0.402257073,86.94143944616732
0.407329662,91.08736351920908,0.402299895,86.9466255153242
0.411769367,91.08266183640688,0.407029063,86.95330414423805
0.41183398,91.08309821256526,0.407061995,86.94296982759404
0.415512063,91.093470886424,0.411989974,86.9328789044573
0.420105892,91.1015584620689,0.417571905,86.93248554084232
0.424299349,91.1020778997335,0.423120926,86.94329352681028
0.428969082,91.11091280191802,0.423133279,86.92893270190011
0.428973327,91.10788954447128,0.434626559,86.9299421141828
0.432098425,91.0989301654287,0.447804268,86.93384743167647
0.434601546,91.09544000958374,0.447828817,86.92849894355419
0.438970105,91.0923859906178,0.44784613,86.9271661890451
0.444311924,91.10245210288208,0.447858779,86.90204326964289
0.447201167,91.10866164383368,0.447896995,86.90319969968449
0.447206501,91.1143910752435,0.452704391,86.88884500546905
0.450169926,91.12452679212988,0.452714964,86.8759310666786
0.4537916,91.115687035785,0.452792328,86.86749117603833
0.459094441,91.12344265654048,0.470333533,86.84849906864558
0.46575447,91.1264663111562,0.470427465,86.842475303855
0.465768791,91.12059197722358,0.470449689,86.81873873573088
0.471789406,91.11942641725165,0.470494899,86.79892798014578
0.471810943,91.1167585853538,0.470517416,86.77288237417721
0.48299073,91.11630387915125,0.476880503,86.76855208506582
0.483004057,91.12749770882824,0.47690813,86.75809842180041
0.483008754,91.12847897281632,0.477228919,86.71953488765227
0.491830456,91.131505962194,0.481973629,86.70298730757165
0.491836191,91.13316074057416,0.6231538090000001,86.68330827125949
0.503053139,91.13825017741344,0.6231722470000001,86.66059809021286
0.50305834,91.1370010468068,0.6231869630000001,86.63128751285618
0.503065019,91.12856714416648,0.6232025880000001,86.60809365026043
0.503080233,91.13072205940568,0.6232334340000001,86.58176133564241
0.551343444,91.13430862063274,0.623244953,86.56809585743589
0.5513655230000001,91.13635102422045,0.623262245,86.5379546836122
0.551380489,91.13662994297778,0.623283193,86.51166545022971
0.55144784,91.13842465240954,0.623305897,86.47346959503206
0.551463224,91.13909902175529,0.6233187210000001,86.44704458084513
0.551477491,91.14344367033426,0.623330275,86.40028243519461
0.551492557,91.14526561205942,0.623393404,86.38047133974716
0.551507278,91.13675541026882,0.6234230700000001,86.32050542657724
0.5515643960000001,91.1418768241079,0.6234615680000001,86.26010535889834
0.551572843,91.14375368283586,0.6234775800000001,86.22331465635199
0.551645178,91.14150418186756,0.6234969890000001,86.18089221072236
0.551662222,91.14361167910172,0.6235136910000001,86.12730498859793
0.551678289,91.14279355917132,0.6235656310000001,86.07105557651828
0.551692968,91.14581669830446,0.623591903,86.03017224554064
0.5602978000000001,91.14365689700723,0.6236078810000001,85.95462489917888
0.560305856,91.13953303552702,0.62367715,85.89829561024851
0.5603116380000001,91.1399325612558,0.6236904750000001,85.8496297276713
0.565132438,91.1408679332644,0.6237276860000001,85.78823976099284
0.56878227,91.14270142620698,0.6237423480000001,85.71591923676515
0.5723994600000001,91.12170015312522,0.623753906,85.67010274876348
0.5800619290000001,91.12756717972644,0.623766481,85.61488541695972
0.5800725520000001,91.12373922096133,0.6237803980000001,85.53614102326226
0.586365274,91.12690581832165,0.623798225,85.47877620372081
0.586368113,91.1331659322648,0.623810773,85.39539823746476
0.5863878020000001,91.13266057545576,0.62382348,85.32755033312148
0.5907683180000001,91.11634868495156,0.6238393080000001,85.26705223683973
0.595802386,91.11285545873088,0.62385385,85.21923126020585
0.599842789,91.0919755765314,0.623867959,85.1309132845477
0.6052684700000001,91.07247503451951,0.623880907,85.0869576792114
0.60528918,91.0614465476914,0.623897936,85.00915446533324
0.610985274,91.04505898580128,0.62390859,84.93837822492401
0.61503593,91.02361121875654,0.623919376,84.8640767014901
0.6150699940000001,91.0070274986733,0.623936,84.8100353062247
0.619529451,90.99083805941096,0.6239563920000001,84.75223118303693
0.625192478,90.96000258582636,0.624002045,84.68897367247867
0.630846482,90.92845125910412,0.7526396750000001,84.62487887380225
0.630914916,90.88890532389568,0.7526533830000001,84.56081481528271
0.638576397,90.85801662309429,0.752677241,84.49568463036631
0.638587527,90.80728654098436,0.752694501,84.43979297485474
0.6412702100000001,90.76125774219078,0.752709519,84.3696514717671
0.64159054,90.71600285489372,0.752725214,84.30767585401522
0.6471168140000001,90.67323427025116,0.752772851,84.23792036996485
0.652334578,90.6164808565688,0.752822938,84.15435484327966
0.6523617610000001,90.56336345956484,0.752844273,84.08170827101499
0.6572139680000001,90.4975422476645,0.752862197,84.0100061330096
0.703211463,90.43516895487991,0.7528802790000001,83.93484707685153
0.703231016,90.37238061605984,0.752953286,83.85406478581632
0.703242812,90.29036159717384,0.7529653980000001,83.78028537163993
0.70325974,90.22257198316836,0.7529856930000001,83.71473491950731
0.7032947940000001,90.1354716993128,0.7530282340000001,83.63177584152612
0.703306914,90.06220415276496,0.7530485060000001,83.56022721983616
0.703319044,89.97758743767398,0.753072964,83.47944849248107
0.7033423590000001,89.88098072822382,0.753087151,83.39656683320503
0.7033588040000001,89.78549608590119,0.7531075300000001,83.29784778458652
0.703376809,89.70098585703713,0.753167628,83.21598116051422
0.703395255,89.59991824398857,0.753181863,83.12832947664499
0.7034104290000001,89.5064993316919,0.753206731,83.04756505820608
0.703421756,89.40658883356562,0.753221605,82.89896051580129
0.70343449,89.30640783431522,0.7532424120000001,82.80657474236799
0.7147483760000001,89.21271744798135,0.7532585470000001,82.73374667588462
0.7147812870000001,89.10096453448315,0.7533074310000001,82.63838248281601
0.7148070710000001,89.0042434630211,0.7533231290000001,82.56085327066226
0.714822434,88.90282327729416,0.753337656,82.45997310641377
0.719395066,88.79614090838892,0.7534081840000001,82.35122618620606
0.722374563,88.69290103854973,0.753422659,82.26899532891218
0.7278807850000001,88.58739632357972,0.753445605,82.17903698543128
0.735413607,88.47576081717658,0.7534685640000001,82.08774342671295
0.735680781,88.35227394789473,0.7535807750000001,81.99852794160122
0.7403913280000001,88.24107642346694,0.78190347,81.90662813463587
0.740401262,88.1216208442808,0.7819089880000001,81.81034871507141
0.7444410340000001,88.01566922081294,0.78191416,81.72187102145216
