time_w1,velocity_w1,time_w2,velocity_w2
0.000917126,0.0,0.000931857,0.0
0.0009629,0.0,0.000943565,0.0
0.004890457,0.0,0.000967503,0.0
0.015894782,0.0,0.014333587,0.0
0.015925256,0.0,0.014339796,0.0
0.020606186,0.0,0.014348019,0.0
0.020684349,0.0,0.014364716,0.0
0.020707991,0.0,0.020978195,0.0
0.024302519,0.0,0.020982377,0.0
0.031715867,0.0,0.039547184,0.0
0.031765107,0.0,0.039549858,0.0
0.038614237,0.0,0.039572138,0.0
0.038630294,0.0,0.039577765,0.0
0.053042281,0.0,0.046658076,0.0
0.053056174,0.0,0.046661019,0.0
0.053112358,0.0,0.04666986,0.0
0.053131326,0.0,0.046674759,0.0
0.062747363,0.0,0.050617151,0.0
0.062777169,0.0,0.057952909,0.0
0.062789266,0.0,0.057968663,0.0
0.062828861,0.0,0.063253767,0.0
0.065880512,0.0,0.063258542,0.0
0.07124717,0.0,0.085375136,0.0
0.076133455,0.0,0.085379779,0.0
0.076183248,0.0,0.085389014,0.0
0.080822332,0.0,0.085394632,0.0
0.087393118,0.0,0.090814248,0.0
0.087407158,0.0,0.090824406,0.0
0.091197111,0.0,0.090838333,0.0
0.099848094,0.0,0.0908468,0.0
0.099893598,0.0,0.111620309,0.0
0.104071945,0.0,0.111636641,0.0
0.104086261,0.0,0.111651552,0.0
0.120314679,0.0,0.111668503,0.0
0.120336738,0.0,0.111700439,0.0
0.120350006,0.0,0.111716447,0.0
0.120372853,0.0,0.117012561,0.0
0.131627047,0.0,0.117090319,0.0
0.131646541,0.0,0.122010156,0.0
0.131858123,0.0,0.12202234,0.0
0.131876859,0.0,0.124863843,0.0
0.135377535,0.0,0.134298721,0.0
0.135391437,0.0,0.134304018,0.0
0.143519876,0.0,0.138599865,0.0
0.143536828,0.0,0.138604844,0.0
0.157994734,0.0,0.153522423,0.0
0.158050208,0.0,0.153528419,0.0
0.158076055,0.0,0.153536197,0.0
0.158091437,0.0,0.153549996,0.0
0.174666341,0.0,0.158740542,0.0
0.174690215,0.0,0.158752685,0.0
0.174722318,0.0,0.16737732,0.0
0.174772754,0.0,0.167384237,0.0
0.186630902,0.0,0.167389242,0.0
0.186669338,0.0,0.171736008,0.0
0.186702243,0.0,0.179290355,0.0
0.18700011,0.0,0.179338742,0.0
0.194161127,0.0,0.185349015,0.0
0.194201898,0.0,0.185360131,0.0
0.210461739,0.0,0.201554372,0.0
0.210466519,0.0,0.201572289,0.0
0.210475722,0.0,0.201593039,0.0
0.210481519,0.0,0.201611164,0.0
0.219115035,0.0,0.206463981,0.0
0.219186524,0.0,0.20662209,0.0
0.219221144,0.0,0.213262435,0.0
0.219237531,0.0,0.213275845,0.0
0.231104804,0.0,0.234747048,0.0
0.231107739,0.0,0.23476,0.0
0.231121782,0.0,0.234771937,0.0
0.231127499,0.0,0.234789842,0.0
0.245561899,0.0,0.270135939,0.0
0.245565567,0.0,0.270146091,0.0
0.245572809,0.0,0.270157175,0.0
0.245579465,0.0,0.270167071,0.0
0.245599665,0.0,0.270175299,0.0
0.249684311,0.0,0.270202809,0.0
0.252211286,0.0,0.270221681,0.0
0.255564783,0.0,0.270247984,0.0
0.262358755,0.0,0.270260943,0.0
0.266289979,0.0,0.270279893,0.0
0.266295751,0.0,0.270294922,0.0
0.270727525,0.0,0.270311434,0.0
0.276003328,0.0,0.274843673,0.0
0.276026719,0.0,0.274853211,0.0
0.280939367,0.0,0.284425655,0.0
0.283327023,0.0,0.284430624,0.0
0.286695291,0.0,0.284448429,0.0
0.289365181,0.0,0.284451852,0.0
0.29183748,0.0,0.288044598,0.0
0.296547813,0.0,0.292267028,0.0
0.300332395,0.0,0.298386844,0.0
0.305676789,0.0,0.301929719,0.0
0.30904847,0.0,0.301941584,0.0
0.309054359,0.0,0.307209283,0.0
0.311860636,0.0,0.312700557,0.0
0.31772327,0.0,0.312716795,0.0
0.32151281,0.0,0.3198987,0.0
0.321563757,0.0,0.319904589,0.0
0.325378128,0.0,0.336545672,0.0
0.334521299,0.0,0.336550352,0.0
0.33830365,0.0,0.336563041,0.0
0.338337269,0.0,0.336579656,0.0
0.341721721,0.0,0.342592636,0.0
0.341744151,0.0,0.34259705,0.0
0.361596173,0.0,0.342615678,0.0
0.361620713,0.0,0.347402366,0.0
0.361642404,0.0,0.347406595,0.0
0.361658807,0.0,0.350975558,0.0
0.364653373,0.0,0.359966343,0.0
0.364668411,0.0,0.364177348,0.0
0.364740145,0.0,0.364223366,0.0
0.369086646,0.0,0.364271495,0.0
0.37848241,0.0,0.368125894,0.0
0.378498268,0.0,0.371532601,0.0
0.400554934,0.0,0.375949335,0.0
0.40056983,0.0,0.384449647,0.0
0.400702154,0.0,0.384507837,0.0
0.403025404,0.0,0.395052001,0.0
0.403044741,0.0,0.395080887,0.0
0.403070625,0.0,0.395097144,0.0
0.40319393,0.0,0.401999676,0.0
0.406757997,0.0,0.402013747,0.0
0.406782379,0.0,0.406354096,0.0
0.411944799,0.0,0.406376005,0.0
0.415171221,0.0,0.423022996,0.0
0.415214078,0.0,0.423039556,0.0
0.419598106,0.0,0.423060174,0.0
0.422847044,0.0,0.423075614,0.0
0.428825745,0.0,0.433807211,0.0
0.431837959,0.0,0.433828381,0.0
0.431847416,0.0,0.440978251,0.0
0.434356127,0.0,0.440994513,0.0
0.438642431,0.0,0.441009031,0.0
0.444017698,0.0,0.441143857,0.0
0.447025652,0.0,0.450808024,0.0
0.44995464,0.0,0.450851208,0.0
0.452736523,0.0,0.450863746,0.0
0.458860126,0.0,0.463399204,0.0
0.463437751,0.0,0.463414486,0.0
0.463466426,0.0,0.463425952,0.0
0.468299256,0.0,0.463466389,0.0
0.468307266,0.0,0.474383695,0.0
0.485680518,0.0,0.474452032,0.0
0.485691694,0.0,0.474495726,0.0
0.485699751,0.0,0.481401074,0.0
0.485703829,0.0,0.481423082,0.0
0.491954559,0.0,0.481437127,0.0
0.491971949,0.0,0.6266383480000001,0.0
0.5026008790000001,0.0,0.626644675,0.0
0.5026043560000001,0.0,0.62664858,0.0
0.5026077640000001,0.0,0.626651525,0.0
0.502736324,0.0,0.626659108,0.0
0.5177709970000001,0.0,0.626678313,0.0
0.517778464,0.0,0.626683457,0.0
0.517784031,0.0,0.6266969090000001,0.0
0.517800024,0.0,0.6267013300000001,0.0
0.531072993,0.0,0.626704875,0.0
0.5311053130000001,0.0,0.626709603,0.0
0.531129187,0.0,0.626716358,0.0
0.531357348,0.0,0.626722251,0.0
0.545002026,0.0,0.626727223,0.0
0.545040784,0.0,0.6267442670000001,0.0
0.545057338,0.0,0.626758284,0.0
0.545083784,0.0,0.6267820070000001,0.0
0.560254451,0.0,0.626784911,0.0
0.560265255,0.0,0.626807499,0.0
0.560273974,0.0,0.626813036,0.0
0.56027773,0.0,0.6268239870000001,0.0
0.560297512,0.0,0.626829484,0.0
