time_w1,position_w1,time_w2,position_w2
0.001671614,19.46705784284009,0.000669632,19.510819398567765
0.034574481,19.46754873350497,0.046560721,19.511946306550207
0.066823903,19.4678932705003,0.063251677,19.513274302828236
0.104113351,19.46844094218225,0.10630369,19.514801039393795
0.133079282,19.46873168301285,0.134302524,19.51635082619206
0.193907068,19.46929211555096,0.160953019,19.51792778503808
0.238025844,19.46965655108285,0.21523987,19.519408945473447
0.238105878,19.47007904522774,0.266505073,19.52043670762668
0.26648829,19.470375923094146,0.273851015,19.521001235488622
0.300359983,19.47085478924194,0.298276396,19.521322001001792
0.337493884,19.471163428446,0.328323634,19.52151764234568
0.369208373,19.471518106380085,0.364504429,19.521611549330306
0.407235726,19.471740045057768,0.402248933,19.52178969787193
0.432098425,19.47197058738686,0.447804268,19.52215741730086
0.465768791,19.472175402434228,0.470449689,19.52261263616125
0.503065019,19.472371468014472,0.6232025880000001,19.523049484771875
0.5515643960000001,19.472518795967883,0.6234615680000001,19.52348798647521
0.56878227,19.47260079999089,0.6237423480000001,19.52378647355531
0.6052684700000001,19.472762392702126,0.623880907,19.52374200568108
0.638587527,19.47278380768837,0.752694501,19.52320155137988
0.70325974,19.4727658611042,0.7529856930000001,19.52203213293901
0.70343449,19.472548339975692,0.7532424120000001,19.52033730742693
0.7403913280000001,19.471997233716927,0.78190347,19.517511466984857
0.7765530890000001,19.471577622865844,0.904890853,19.513687927069245
0.807522849,19.469539170666888,0.905056211,19.50882281619614
0.84337717,19.46630184744748,0.905271181,19.502524928383423
0.8711440140000001,19.46202812230448,0.905442002,19.494755478212426
0.901878718,19.45624937955017,0.905711169,19.48534107105777
1.003098119,19.448793257671337,1.003273746,19.474164270324728
1.003380631,19.43937126017598,1.003578209,19.4611178729966
1.006529653,19.42826483009473,1.003753079,19.44587160756974
1.032653557,19.41504546531134,1.137941062,19.42858810922662
1.066615222,19.39985711714872,1.138008873,19.408830144662144
1.101652867,19.382240938903625,1.138054243,19.386710977995453
1.136969562,19.362930866381717,1.153876172,19.362041997906424
1.195008404,19.340278337131,1.164007896,19.33504158733644
1.215514845,19.31503718445585,1.195920542,19.305494483080523
1.236278483,19.287000319405745,1.370550693,19.273366091692115
1.289309284,19.256801810986097,1.370793201,19.238460653917866
1.30241325,19.224145618044748,1.371048884,19.200552661672575
1.33770607,19.188511137953643,1.371397337,19.16004935383516
1.367353884,19.150354995069385,1.371688616,19.11694576844192
1.399658067,19.10928870757865,1.406670717,19.071277154022155
1.437519093,19.06479476488029,1.429334188,19.022508013037964
1.468055558,19.018782255557984,1.565204,18.970528980336503
1.504003193,18.968336607705503,1.565575998,18.91538019241112
1.5362931,18.915366645922447,1.56603871,18.85694901128073
1.571515782,18.859462323519438,1.5663319530000002,18.795106515662585
1.603930176,18.79953653097322,1.596725449,18.729867115625375
1.637923829,18.736944695142533,1.628076101,18.661314289765084
1.671483961,18.671931744783937,1.767737431,18.589137111109554
1.702899345,18.60336294836684,1.767978184,18.51368703534953
1.738227507,18.53322995764708,1.768306696,18.4357196547627
1.812536616,18.458273309877868,1.768606507,18.33719737349042
1.8127386,18.38003698045738,1.800843336,18.250203668443824
1.839899269,18.297996615113234,1.840163543,18.15922016336424
