Motor,Wing_1_Mean,Wing_1_Std,Wing_2_Mean,Wing_2_Std,Difference,Difference_Percent
Motor 1,1213.0084944972255,167.50912228623832,1105.7847249270771,332.92367171769456,-107.2237695701483,-8.839490412191301
Motor 2,1176.814335445301,148.90629544189474,1278.6482863142305,241.35295689016309,101.8339508689296,8.653357441502965
Motor 3,1222.248880023312,89.05000066098809,1205.1032638768613,308.91769056779094,-17.14561614645072,-1.4027925430476729
Motor 4,1208.4674828823074,118.48905041033468,1194.8987897019792,256.0567520683866,-13.568693180328182,-1.1228016783675128
