time_w1,motor_speed_w1,motor_speed_std_w1,time_w2,motor_speed_w2,motor_speed_std_w2
0.001315104,1214.3331298828125,10.286294980945137,4.0848e-05,1271.1698913574219,43.997347891274025
0.001325368,1210.5894165039062,17.75419803763594,5.3677e-05,1256.2211303710938,52.610252904867615
0.001440042,1219.2026062011719,20.47664664045899,6.1913e-05,1257.3730773925781,54.90809297144369
0.001465579,1203.1281127929688,4.281980008081614,7.2297e-05,1256.9803771972656,55.80879715115758
0.001477516,1216.19189453125,18.178407446341037,8.6931e-05,1279.3904113769531,39.888647248815225
0.004671808,1215.8254089355469,20.41817149617105,0.00030274,1259.5983581542969,57.32707143859172
0.004699838,1204.620361328125,5.510643892765271,0.000379405,1263.31591796875,61.19686751774445
0.01674606,1219.1764221191406,22.215756055723133,0.0058686,1265.5935974121094,61.08299744095359
0.016765018,1216.1919250488281,21.634933046131543,0.005878961,1257.7395935058594,53.02461346697281
0.016784725,1204.620361328125,7.438602761951804,0.005943098,1268.5518798828125,59.20674092854012
0.01688203,1217.3176574707031,17.927050461494566,0.005962602,1257.3468933105469,53.51036298863571
0.020950537,1216.5846252441406,19.967847137191097,0.006017367,1270.8034057617188,51.74176305289069
0.021130133,1206.8456420898438,9.431357585264598,0.006048283,1258.1061096191406,54.14860355378808
0.021159489,1215.4327087402344,16.038986381320175,0.010981373,1266.3528137207031,61.72569418727072
0.021190441,1213.2073974609375,21.811131623153926,0.010993217,1269.6776733398438,53.083554924619705
0.021208956,1204.5941772460938,5.100157882824216,0.011009526,1265.5935974121094,61.08299744095359
0.021262876,1218.076904296875,18.48764083481743,0.011014419,1263.3421020507812,60.84802397880537
0.021274742,1214.725830078125,18.55069498494715,0.015576847,1271.169921875,53.34741865943
0.021284925,1209.4636840820312,8.35022720482687,0.01558183,1261.8236389160156,60.81080690805075
0.021330349,1217.3438110351562,20.318010817752754,0.015594222,1263.31591796875,60.591083817343616
0.021343886,1213.9666137695312,15.535383017445751,0.015605049,1270.8034057617188,54.565191709985164
0.021369989,1217.3176574707031,14.532407040927195,0.015608939,1264.4154357910156,59.73828027296399
0.021433997,1215.4850769042969,23.885444286213996,0.015612086,1260.3576049804688,57.64465805581194
0.024453807,1213.2073974609375,15.986233434938484,0.02199059,1272.6883239746094,55.40468397070665
0.024464832,1213.9666442871094,16.51065379995274,0.021994744,1259.6245422363281,54.86191249309081
0.024470835,1212.1078186035156,19.929741587087875,0.021996426,1262.2425537109375,57.77535516059421
0.024709514,1220.328369140625,19.701031650813025,0.021998715,1265.2008666992188,60.0033961383294
0.03209691,1206.4791259765625,6.7020263671875,0.022126793,1261.1168212890625,58.393371632334755
0.032118089,1206.8718566894531,9.171916523882874,0.022152904,1267.1120300292969,54.41412936076961
0.032132089,1218.4433898925781,21.90519694944232,0.039337481,1258.4725952148438,57.53488008577385
0.032156758,1207.6048889160156,8.679555881377444,0.039345157,1259.2056579589844,62.8085032700544
0.032175833,1217.3438415527344,18.503483380173,0.039348502,1267.4523620605469,60.47264956875826
0.032190887,1213.9666137695312,17.26599964440924,0.039351376,1260.6978759765625,57.03115672646041
0.032285868,1221.4540710449219,23.43259354039911,0.039382061,1262.2163696289062,55.94865259754199
0.039601576,1212.0816345214844,11.185043202850615,0.039388008,1262.5828552246094,59.50427442501835
0.039617137,1222.2132873535156,23.978733750829686,0.039392024,1253.2627868652344,53.675642772741554
0.039627854,1215.0923461914062,22.791999729367237,0.039396039,1263.7085876464844,60.38528014581013
0.0396479,1212.0816345214844,14.111663339817639,0.039414207,1264.8343505859375,54.618138779595455
0.039679679,1203.8611145019531,19.23702997764019,0.039418171,1259.9386901855469,60.30830774520335
0.039694486,1219.54296875,20.77859319629704,0.039427951,1259.2056274414062,59.911209320700756
0.039745563,1214.3069458007812,27.67049828942287,0.039434978,1264.8343505859375,53.27132983422175
0.051521222,1207.9714050292969,8.461704016179048,0.039439746,1258.4726257324219,62.86558074945674
0.051535805,1224.8313293457031,25.191757910457827,0.039443252,1261.4833374023438,56.60170072735453
0.051553554,1215.8515930175781,22.21118790675821,0.039448643,1264.8081359863281,65.12652381137565
0.051598734,1215.8254089355469,20.7907249158681,0.039453451,1260.6978759765625,56.67175059407433
0.051624261,1209.8563537597656,10.442709607529938,0.039457781,1264.8081359863281,61.51991154896181
0.05164301,1225.930908203125,26.175838530312276,0.046616264,1260.3576049804688,59.123529982016265
0.051659585,1213.9666137695312,15.535383017445751,0.046623581,1262.6090698242188,60.6359046069377
