time_s,motor_avg_rpm,motor1_rpm,motor2_rpm,motor3_rpm,motor4_rpm,pitch_deg,roll_deg,yaw_deg,gps_speed_ms,altitude_rel_m,voltage_V,current_A,power_W
3.000469,11257.142857142859,11271.42857142857,11428.57142857143,10842.857142857143,11485.714285714286,0.7997975872463905,-1.4305153108235507,-0.003894632161302972,0.18,1.5799999999999996,23.15,24.676923076923078,548.2544315384615
3.020486,11360.714285714286,11242.857142857143,11971.42857142857,10957.142857142857,11271.42857142857,0.7262412307600766,-1.4266789829276811,-0.005836817093824818,0.18,1.3199999999999998,23.39,21.284615384615385,548.8065489230768
3.040503,11310.714285714286,10985.714285714286,11671.42857142857,11185.714285714286,11400.0,0.7005148241599038,-1.4295360713104843,-0.006596562268718142,0.18,1.3199999999999998,22.31,21.93076923076923,551.2104572307693
3.06052,11342.857142857143,10900.0,11485.714285714286,11585.714285714286,11400.0,0.723468968860641,-1.4419085131743545,-0.0061461640040615505,0.28,1.5799999999999996,22.59,20.692307692307693,553.1655861538461
3.080536,11410.714285714286,10828.57142857143,12042.857142857143,11342.857142857143,11428.57142857143,0.7545585350361359,-1.4425845588092154,-0.005472655309054124,0.28,1.4099999999999997,22.24,21.884615384615383,556.0892730769231
3.100552,11271.42857142857,10528.57142857143,12142.857142857143,10957.142857142857,11457.142857142857,0.7398593942775189,-1.4465984784577113,-0.005957486565931637,0.28,1.4099999999999997,21.84,27.7,558.4083763076923
3.120569,11428.57142857143,10628.57142857143,12314.285714285714,11371.42857142857,11400.0,0.7640782827818667,-1.4230879978392628,-0.0054737824740217125,0.28,1.5799999999999996,22.57,25.130769230769232,560.0742213846154
3.140586,11285.714285714286,10557.142857142857,12042.857142857143,11585.714285714286,10957.142857142857,0.73984085299671,-1.410569253220742,-0.006182582362722258,0.28,1.7600000000000002,23.28,21.23846153846154,561.2554709230769
3.160602,11414.285714285714,10400.0,12314.285714285714,11871.42857142857,11071.42857142857,0.7730487215915168,-1.4029094974265508,-0.005469703590366447,0.26,1.5799999999999996,22.13,33.65384615384615,564.2478753846154
3.180619,11253.571428571428,10428.57142857143,12142.857142857143,11428.57142857143,11014.285714285714,0.8159501280255289,-1.4081590133169213,-0.004530581634546046,0.26,1.7600000000000002,23.37,20.553846153846155,567.4308049230768
