"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","4.5"
"firmwarePatch",2
"firmwareVersion","4.5.2"
"Firmware revision","Betaflight 4.5.2 (024f8e13d) STM32H743"
"Firmware date","Mar 29 2025 20:25:41"
"Board information","HBRO KAKUTEH7"
"Log start datetime","2025-11-07T12:27:46.152+00:00"
"Craft name",""
"frameIntervalI",256
"frameIntervalPNum",1
"frameIntervalPDenom",16
"minthrottle",1070
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","158,2047"
"acc_1G",2048
"vbatscale",109
"vbatmincellvoltage",330
"vbatwarningcellvoltage",350
"vbatmaxcellvoltage",430
"vbatref",2494
"currentMeterOffset",0
"currentMeterScale",168
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",1
"thrMid",50
"thrExpo",0
"tpa_mode",1
"tpa_rate",65
"tpa_breakpoint",1350
"tpa_low_rate",20
"tpa_low_breakpoint",1050
"tpa_low_always",0
"mixer_type","LEGACY"
"rc_rates","7,7,7"
"rc_expo","0,0,0"
"rates","67,67,67"
"rate_limits","1998,1998,1998"
"rollPID","45,80,40,30,120"
"pitchPID","47,84,46,34,125"
"yawPID","45,80,0,0,120"
"levelPID","50,75,75"
"magPID","40,,"
"d_max_gain",37
"d_max_advance",20
"dterm_filter_type",0
"dterm_lpf_hz",86
"dterm_lpf_dyn_hz","86,172"
"dterm_lpf_dyn_expo",5
"dterm_filter2_type",0
"dterm_lpf2_hz",172
"yaw_lpf_hz",0
"dterm_notch_hz",0
"dterm_notch_cutoff",0
"itermWindupPointPercent",85
"iterm_relax",1
"iterm_relax_type",1
"iterm_relax_cutoff",15
"pidAtMinThrottle",1
"anti_gravity_gain",80
"anti_gravity_cutoff_hz",5
"anti_gravity_p_gain",100
"abs_control_gain",0
"use_integrated_yaw",0
"ff_transition",0
"ff_averaging",0
"ff_smooth_factor",25
"ff_jitter_factor",7
"ff_boost",15
"ff_max_rate_limit",90
"yawRateAccelLimit",0
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",0
"gyro_lowpass_dyn_hz","0,500"
"gyro_lowpass_dyn_expo",5
"gyro_soft2_type",0
"gyro_lowpass2_hz",0
"gyro_notch_hz","120,103"
"gyro_notch_cutoff","95,95"
"gyro_to_use",0
"dyn_notch_max_hz",400
"dyn_notch_count",3
"dyn_notch_q",300
"dyn_notch_min_hz",100
"dshot_bidir",1
"motor_poles",14
"gyro_rpm_notch_harmonics",0
"gyro_rpm_notch_q",500
"gyro_rpm_notch_min",100
"rpm_filter_fade_range_hz",50
"rpm_notch_lpf",150
"acc_lpf_hz",2500
"acc_hardware",0
"baro_hardware",0
"gyro_cal_on_first_arm",0
"airmode_activate_throttle",25
"serialrx_provider",9
"unsynced_fast_pwm",0
"fast_pwm_protocol",7
"motor_pwm_rate",480
"digitalIdleOffset",550
"debug_mode",0
"features",272958600
"rc_smoothing_mode",1
"rc_smoothing_auto_factor_setpoint",30
"rc_smoothing_auto_factor_throttle",30
"rc_smoothing_feedforward_hz",0
"rc_smoothing_setpoint_hz",0
"rc_smoothing_throttle_hz",0
"rc_smoothing_debug_axis",0
"rc_smoothing_active_cutoffs_ff_sp_thr","93,93,93"
"rc_smoothing_rx_smoothed",250
"rates_type",3
"fields_disabled_mask",64
"blackbox_high_resolution",0
"vbat_sag_compensation",0
"dynamic_idle_min_rpm",0
"dyn_idle_p_gain",50
"dyn_idle_i_gain",50
"dyn_idle_d_gain",50
"dyn_idle_max_increase",150
"dyn_idle_start_increase",50
"simplified_pids_mode",2
"simplified_master_multiplier",100
"simplified_i_gain",100
"simplified_d_gain",100
"simplified_pi_gain",100
"simplified_d_max_gain",100
"simplified_feedforward_gain",100
"simplified_pitch_d_gain",100
"simplified_pitch_pi_gain",100
"simplified_dterm_filter",1
"simplified_dterm_filter_multiplier",115
"simplified_gyro_filter",1
"simplified_gyro_filter_multiplier",100
"motor_output_limit",100
"throttle_limit_type",0
"throttle_limit_percent",100
"throttle_boost",5
"throttle_boost_cutoff",15
"thrust_linear",0
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisF[0]","axisF[1]","axisF[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","setpoint[0]","setpoint[1]","setpoint[2]","setpoint[3]","vbatLatest","amperageLatest","baroAlt","gyroADC[0]","gyroADC[1]","gyroADC[2]","gyroUnfilt[0]","gyroUnfilt[1]","gyroUnfilt[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","eRPM[0]","eRPM[1]","eRPM[2]","eRPM[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","GPS_numSat","GPS_coord[0]","GPS_coord[1]","GPS_altitude","GPS_speed","GPS_ground_course","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]","gpsCartesianCoords[0]","gpsCartesianCoords[1]","gpsCartesianCoords[2]","gpsDistance","gpsHomeAzimuth"
0,62172722,0,0,-3,0,0,0,0,5,0,0,0,1,-2,-11,1000,0,0,-2,0,2489,190,231,0,0,0,0,-1,0,24,113,2013,177,170,188,158,134,149,146,140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05607626950860838,-0.011903200989851214,6.283185307179586,0,5,-3,0,0,-2,0,0,0,-2,0,0,0,0,0
16,62174724,0,0,-3,0,0,0,1,5,0,0,0,1,-2,-11,1000,0,0,-2,0,2489,190,231,0,-1,1,0,0,0,21,114,2017,174,167,191,158,134,150,147,141,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.05626804807311473,-0.011165879897380559,6.2831523840007915,1,5,-3,0,0,-2,0,0,1,-3,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
32,62176725,0,2,-2,0,0,0,0,5,0,0,0,0,0,-11,1000,0,0,-2,0,2489,190,240,0,-1,0,1,-2,0,9,107,2017,184,168,193,158,135,150,146,142,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.05517610869981813,-0.008947553578739815,6.2831542705923304,0,7,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
48,62178727,-1,2,-2,0,0,0,-2,3,0,0,0,0,0,-11,1000,0,0,-2,0,2489,190,240,0,-1,-1,0,-1,-1,7,100,2022,185,172,184,158,135,150,147,142,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.053729593841424964,-0.007593474264713424,0.000005628687302028368,-3,5,-2,0,0,-2,0,0,1,-1,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
64,62180729,0,1,-2,0,0,0,0,0,0,0,0,1,-1,-10,1000,0,0,-2,0,2489,190,240,0,-1,0,-1,0,0,7,98,2030,163,167,168,158,135,150,149,142,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.05262240011977445,-0.006784739903055255,0.0000073506707787274195,0,1,-2,0,0,-2,0,0,1,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
80,62182730,0,0,-2,0,0,0,1,-3,0,0,0,1,-1,-10,1000,0,0,-2,0,2489,190,240,0,0,0,-1,0,0,11,89,2031,158,178,172,177,136,150,149,142,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.05113838753882956,-0.006553856147875045,0.0000071435459423341285,1,-3,-2,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
96,62184732,1,0,-3,0,0,0,1,-3,0,-1,0,1,0,-11,1000,0,0,-2,0,2494,71,240,0,0,0,0,1,0,16,86,2032,158,183,174,177,137,150,149,142,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.049864016648981886,-0.006743149655639815,0.000006965686491611223,2,-4,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
112,62186733,1,0,-3,0,0,0,0,-1,0,0,0,1,0,-11,1000,0,0,-2,0,2494,71,240,0,0,0,1,0,-1,29,82,2027,158,171,172,166,137,151,149,142,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.04867659872246699,-0.007693856893174879,0.000006799990137196232,1,-1,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
128,62188735,0,-1,-3,0,0,0,-1,-2,0,0,0,1,-2,-10,1000,0,0,-2,0,2494,71,240,0,0,0,0,0,0,30,64,2022,158,177,166,166,138,152,149,143,1,7,0,1,1,8,480374399,116407539,5785,45,3193,0.046773749911879624,-0.008490974124702016,0.00000653440651543491,-1,-3,-3,0,0,-2,0,0,0,-2,0.03336034404566135,578.5000000001103,-0.05966247508553124,0.06835585920882371,119.21179015415117
