t,t_rel,da_aero_x_W,da_aero_y_W,da_aero_z_W,da_thrust_x_W,da_thrust_y_W,da_thrust_z_W
0.0008137509999999999,7.718699999999994e-05,,,,,,
0.0012677105,0.0005311465,,,,,,
0.001656736,0.000920172,,,,,,
0.0016707385,0.0009341744999999999,-0.004219910394847148,0.0018524322475539368,-0.190855055537428,0.004022194704585702,-0.003243997712749608,0.1903238038663435
0.0021633785,0.0014268145,-0.054723897548665024,-0.39106527444133066,-0.11343475144090398,-0.0007529552951771046,0.0006072767319226235,-0.03562863721043463
0.002656942,0.001920378,-0.0020923394702717646,-0.0006822389153391395,-0.08552375095777442,0.0017902565665456338,-0.0014438853993039569,0.08471207006791381
0.002990848,0.002254284,-0.037105874452513204,-0.2637294831535515,-0.08507778042381631,-0.00032765583178512303,0.00026426238582338835,-0.015504148566760634
0.0037807915,0.0030442275,0.22265897601931603,-0.48776340975602595,-0.207450176717078,-0.00045337190491548385,0.0003656554519585742,-0.02145283156264277
0.0043505869999999995,0.0036140229999999996,0.040094715855688884,0.09659917944832674,0.036382655890276894,-0.00010972495959687967,8.849584470838057e-05,-0.005192009145098098
0.0048528315,0.0041162675,0.14060623954205917,0.3406171256584197,0.10077234138904068,0.00019142932790433553,-0.0001543924020303844,0.009058128841152424
0.0057728935,0.0050363295,-0.06704060704022116,0.561497563990434,0.22587972432226344,0.015906050345246364,0.007597777104091791,0.012042121676559603
0.006302563000000001,0.005565999,0.001661346698231786,-0.00045290884423643263,0.07805847788073805,-0.0017546937626218007,0.0012685773909705544,-0.07771303578858557
0.006457910000000001,0.005721346,-0.018763967092099487,0.16435311792387453,0.07179252129100355,-4.905665419635552e-05,3.5466110221538116e-05,-0.0021726534877171133
0.00661355,0.005876986,-0.1946454930062063,-0.009334223083344306,0.06314030882997734,-3.363787215993064e-07,2.431891251430951e-07,-1.4897762895316191e-05
0.0069862625,0.0062496984999999994,-0.035998359825063275,-0.29576920757649017,-0.1239399139076145,-0.00011792532705667824,8.525556248822896e-05,-0.005222754737694402
0.007359391,0.0066228269999999995,0.0020708883719522675,-0.0027751661690594287,0.0975564116011789,-0.0022143224585911003,0.001600871597725373,-0.0980693749175039
0.0078620375,0.0071254735,-0.05128540729833975,-0.3968601815464279,-0.28856706796643294,0.0025828782212299617,-0.0018673235095946206,0.1143922158497297
0.008364449999999999,0.007627885999999999,0.2007759558091691,-0.4585869165219866,-0.24783509075087373,6.417934786673296e-06,-4.639924721050459e-06,0.00028424173288321697
0.00872508,0.007988516,0.007564607150915698,0.034814987104823114,-0.07146431043852175,0.0018606497827741153,-0.0013451795961335056,0.08240568596009368
0.009601347,0.008864783,0.015311420293691286,0.04686754863445686,0.09349935284693878,-0.0017558275119938793,0.0012693970489935646,-0.07776324802926382
0.010430598499999999,0.009694034499999999,0.007829548869508929,0.02935346222157892,-0.006552883735354342,0.0003626864625529136,-0.0002622086293384007,0.016062897495171313
0.0111231255,0.0103865615,0.009528127243851575,0.03572315959852862,-0.007990865104417821,0.0004417488705383832,-0.00031936776752111706,0.019564465616165094
0.0115056985,0.0107691345,6.34272259901203e-05,0.00022523492565074132,7.362993950543739e-05,0.0,0.0,0.0
0.0120404055,0.0113038415,0.01857828562216024,0.04623298389827951,0.22075531925131564,-0.004618565555412457,0.003339048651747334,-0.20455008044446998
0.0133998865,0.0126633225,0.020107317282155673,0.07818343276499912,-0.04508104856584971,0.0015865117998427325,-0.0011469881768892687,0.07026448198913648
