t,ax_b,ay_b,az_b,wx_b,wy_b,wz_b,px_w,py_w,pz_w,qx_w,qy_w,qz_w,qw_w,vx_w,vy_w,vz_w,rpm_avg,gx_b,gy_b,gz_b,vx_b,vy_b,vz_b,ax_tot_b,ay_tot_b,az_tot_b,dvx_b_dt,dvy_b_dt,dvz_b_dt,T_total,T_total_corr,F_aero_x_b,F_aero_y_b,F_aero_z_b,F_sum_x_b,F_sum_y_b,F_sum_z_b,F_thrust_x_b,F_thrust_y_b,F_thrust_z_b,V_b,F_aero_mag,F_D_x_b,F_D_y_b,F_D_z_b,F_L_x_b,F_L_y_b,F_L_z_b,F_D_mag,F_L_mag,roll_rad,roll_deg,pitch_rad,pitch_deg,yaw_rad,yaw_deg
0.000736564,,,,,,,,,,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,,,,,0.20001711577899006,-0.17572842725941287,-9.80638632082422,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.000782066,,,,,,,-0.0158195801918848,2.673058909374764,1.6167289994433778,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,,,,,0.20001711577899006,-0.17572842725941287,-9.80638632082422,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.000790428,,,,,,,-0.015819653371523253,2.6730589973603074,1.6167289528227549,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.0115149422067924,0.0213985751559953,0.0177362532923774,,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010958676186462112,0.02217694340948725,0.017121862948773558,,,,,,,,,,,,,,,0.0,0.0,,0.03008434133538437,,,,,,,,,,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.000890938,0.06867,0.5297400000000001,9.35874,0.095,0.129,0.079,-0.015820532979925674,2.673060054933493,1.6167283924497808,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.011487237291498458,0.021289356524338745,0.017501956333108644,,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010930844828782224,0.02206247950184078,0.01689009848572766,0.26868711577899007,0.35401157274058725,-0.4476463208242212,,,,,,0.171675,1.3243500000000004,,0.171675,1.3243500000000004,23.396849999999997,0.0,0.0,,0.029858194809761013,,,,,,,,,,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.001644483,-0.13734,0.56898,9.447030000000002,-0.265,0.226,-0.036,-0.015827127592537366,2.673067983786202,1.616724191213558,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.011279527606937987,0.020470521047354966,0.015745381841295134,,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.01072218717856941,0.021204319067182908,0.015152510660576697,0.06267711577899007,0.3932515727405872,-0.35935632082421876,,,,,,-0.34335,1.42245,,-0.34335,1.42245,23.617575000000002,0.0,0.0,,0.028181324034084437,,,,,,,,,,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.001668989,-0.13905962908873282,0.5592354351638473,9.443447439398474,-0.2654528415031492,0.2243201041012209,-0.03525500268836753,-0.015827342055610788,2.673068241640032,1.6167240545853607,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.01127277269047004,0.020443891738954053,0.015688256368368656,12255.643310546875,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010715401433356963,0.02117641087376151,0.015096002652105872,0.060957486690257245,0.3835070079044345,-0.3629388814257464,,,,26.52933175700571,26.52933175700571,-0.34764907272183204,1.3980885879096183,-2.9207131585095247,-0.34764907272183204,1.3980885879096183,23.608618598496186,0.0,0.0,26.52933175700571,0.028127379924990183,3.2566972428670957,0.14572624439190027,-0.2879928340086726,-0.20530110658974784,-0.4933753171137323,1.686081421918291,-2.715412051919777,0.382523927502437,3.234154043422523,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.001672488,-0.13930516006814503,0.5578440929471781,9.4429359165247,-0.2655174988286825,0.2240802462806942,-0.035148630959264376,-0.01582737267694001,2.6730682784567525,1.6167240350774008,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.01127180821431231,0.020440089570093578,0.015680099915672593,12356.698608398438,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010714432555429174,0.02117242610395895,0.015087934361824333,0.060711955710845034,0.3821156656877652,-0.36345040429952036,,,,27.00531660372851,27.00531660372851,-0.34826290017036254,1.3946102323679452,-3.3979768124167578,-0.34826290017036254,1.3946102323679452,23.60733979131175,0.0,0.0,27.00531660372851,0.028119680926695492,3.68950825525332,0.24403695219849042,-0.48223312903675647,-0.3436498851042514,-0.592299852368853,1.8768433614047018,-3.0543269273125064,0.6404670704345966,3.6334932361669976,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.002654269,-0.20819845829572997,0.167448736324197,9.299408211883897,-0.2836596347873567,0.1567787741759349,-0.005301891156284169,-0.01583596468586386,2.6730786088244702,1.616718561357981,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.011001186789158585,0.01937324271499055,0.013391488802670506,12337.848815917969,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010442576041904983,0.020054343428473297,0.012824060654793523,-0.008181342516739909,-0.008279690935215883,-0.5069781089403236,,,,26.916212187585902,26.916212187585902,-0.5204961457393249,0.4186218408104925,-3.6676916578761585,-0.5204961457393249,0.4186218408104925,23.248520529709744,0.0,0.0,26.916212187585902,0.025993857282364644,3.7280185864058435,0.513167475176217,-0.9855074784429365,-0.6301980278926022,-1.0336636209155419,1.404129319253429,-3.0374936299835564,1.2773861600962386,3.5023430983531596,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.002659615,-0.20857359651120233,0.16532295310318684,9.298626673934995,-0.28375842245877736,0.15641230378195492,-0.005139369503301742,-0.015836011471124223,2.6730786650754528,1.6167185315524502,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.010999713199693246,0.019367433513867917,0.01337902684322119,12382.616271972656,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010441095727128777,0.020048255237743243,0.01281173339562087,-0.008556480732212268,-0.01040547415622603,-0.5077596468892249,,,,27.128070404307774,27.128070404307774,-0.5214339912780058,0.4133073827579671,-3.8815037194702846,-0.5214339912780058,0.4133073827579671,23.24656668483749,0.0,0.0,27.128070404307774,0.025982485074781302,3.9381197955577742,0.5567591724380333,-1.0690496751208194,-0.6831706431259897,-1.0781931637160391,1.4823570578787866,-3.1983330763442948,1.3854855147561058,3.6863555732681315,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
0.003322081,-0.25506,-0.0981,9.20178,-0.296,0.111,0.015,-0.015841809010273735,2.6730856355886123,1.6167148381085872,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,-0.010817108837787802,0.01864756852492162,0.011834764885018657,12374.435883515273,0.20001711577899006,-0.17572842725941287,-9.80638632082422,-0.010257657977683313,0.01929381839521086,0.011284163235674943,-0.05504288422100995,-0.27382842725941287,-0.6046063208242209,,,,27.089295749591965,27.089295749591965,-0.63765,-0.24525000000000002,-4.084845749591967,-0.63765,-0.24525000000000002,23.00445,0.0,0.0,27.089295749591965,0.024592749244113907,4.141583016548087,0.7510891364535643,-1.4127374327432676,-0.8262521950647373,-1.3887391364535644,1.1674874327432676,-3.2585935545272293,1.80073724752444,3.729618646502302,0.01791787669993692,1.0266187127421809,0.020390517507053302,1.168290595241771,0.04232281602277748,2.424918735213806
