t,ax_b,ay_b,az_b,qx_w,qy_w,qz_w,qw_w,rpm_avg,T_total,a_meas_x_W,a_meas_y_W,a_meas_z_W,a_thrust_x_W,a_thrust_y_W,a_thrust_z_W,a_aero_x_W,a_aero_y_W,a_aero_z_W
0.000736564,,,,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,,,,,,,,,,,
0.000890938,0.06867,0.5297400000000001,9.35874,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,,,0.24408720939851844,0.3726362502947663,-0.44661823467213857,,,,,,
0.001644483,-0.13734,0.56898,9.447030000000002,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,,,0.03852399348996932,0.40161660087218803,-0.3534574846443217,,,,,,
0.001668989,-0.13905962908873282,0.5592354351638473,9.443447439398474,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12255.643310546875,26.52933175700571,0.037139249075694464,0.39187047246690543,-0.3571782201263609,0.22417969488715533,-0.18080636838134953,0.797823691845398,-0.18704044581146087,0.572676840848255,-1.155001911971759
0.001672488,-0.13930516006814503,0.5578440929471781,9.4429359165247,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12356.698608398438,27.00531660372851,0.03694153338543302,0.39047890700170973,-0.3577094717974454,0.22820188959174104,-0.18405036609409914,0.9881474957117415,-0.19126035620630802,0.5745292730958089,-1.345856967509187
0.002654269,-0.20819845829572997,0.167448736324197,9.299408211883897,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12337.848815917969,26.916212187585902,-0.01853531945840911,2.0909292301724003e-05,-0.506772860448784,0.22744893429656393,-0.18344308936217651,0.9525188585013069,-0.24598425375497304,0.18346399865447824,-1.459291718950091
0.002659615,-0.20857359651120233,0.16532295310318684,9.298626673934995,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12382.616271972656,27.128070404307774,-0.01883740236213524,-0.0021052150223413724,-0.5075845413386446,0.22923919086310957,-0.18488697476148047,1.0372309285692207,-0.2480765932252448,0.1827817597391391,-1.5448154699078653
0.003322081,-0.25506,-0.0981,9.20178,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12374.435883515273,27.089295749591965,-0.05627093264643354,-0.26557043579006945,-0.6081664703292216,0.22891153503132444,-0.18462271237565708,1.02172678000246,-0.285182467677758,-0.08094772341441236,-1.6298932503316816
0.004239502,-0.04905,-0.5984100000000001,8.98596,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12363.107211313285,27.035643907123085,0.16593467146796698,-0.7529681900941368,-0.8370694786089423,0.22845816312640896,-0.1842570569236985,1.0002739484398173,-0.06252349165844198,-0.5687111331704383,-1.8373434270487596
0.004461672,-0.0056550459487361565,-0.5029411010872196,9.016336467835885,0.0087406296476896,0.0103819476781225,0.021066564418063,0.9996859588987884,12360.36376953125,27.022659101087747,0.20591966236405898,-0.6562805148011017,-0.8058788318637635,0.22834843816681208,-0.18416856107899013,0.9950819392947192,-0.022428775802753098,-0.47211195372211157,-1.8009607711584827
